Train Epoch: [1/30] Iters:[450/468] gen_loss 0.1262, rec_loss 0.0207, lpips_loss 0.2097, g_loss -0.0235, disc_weight 0.4000, disc_adaptive_weight 4.4591, d_loss 0.4888, logits_real 0.0175, logits_fake 0.0234,
Train Epoch: [1/30] Iters:[460/468] gen_loss 0.1215, rec_loss 0.0205, lpips_loss 0.2093, g_loss -0.0241, disc_weight 0.4000, disc_adaptive_weight 4.5195, d_loss 0.4856, logits_real 0.0177, logits_fake 0.0242,
epoch:2, cur_lr:0.000010
Train Epoch: [2/30] Iters:[10/468] gen_loss 0.1318, rec_loss 0.0202, lpips_loss 0.2106, g_loss -0.0256, disc_weight 0.4000, disc_adaptive_weight 3.8947, d_loss 0.4747, logits_real 0.0191, logits_fake 0.0239,
Train Epoch: [2/30] Iters:[20/468] gen_loss 0.1277, rec_loss 0.0206, lpips_loss 0.2113, g_loss -0.0249, disc_weight 0.4000, disc_adaptive_weight 4.2527, d_loss 0.4737, logits_real 0.0190, logits_fake 0.0240,
Train Epoch: [2/30] Iters:[30/468] gen_loss 0.1126, rec_loss 0.0205, lpips_loss 0.2109, g_loss -0.0250, disc_weight 0.4000, disc_adaptive_weight 4.8206, d_loss 0.4723, logits_real 0.0188, logits_fake 0.0242,
Train Epoch: [2/30] Iters:[40/468] gen_loss 0.1059, rec_loss 0.0205, lpips_loss 0.2104, g_loss -0.0253, disc_weight 0.4000, disc_adaptive_weight 4.9871, d_loss 0.4712, logits_real 0.0190, logits_fake 0.0246,
Train Epoch: [2/30] Iters:[50/468] gen_loss 0.0936, rec_loss 0.0205, lpips_loss 0.2101, g_loss -0.0255, disc_weight 0.4000, disc_adaptive_weight 5.4018, d_loss 0.4703, logits_real 0.0191, logits_fake 0.0252,
Train Epoch: [2/30] Iters:[60/468] gen_loss 0.0894, rec_loss 0.0206, lpips_loss 0.2100, g_loss -0.0264, disc_weight 0.4000, disc_adaptive_weight 5.4431, d_loss 0.4681, logits_real 0.0193, logits_fake 0.0259,
Train Epoch: [2/30] Iters:[70/468] gen_loss 0.0863, rec_loss 0.0204, lpips_loss 0.2098, g_loss -0.0271, disc_weight 0.4000, disc_adaptive_weight 5.4053, d_loss 0.4662, logits_real 0.0194, logits_fake 0.0266,
Train Epoch: [2/30] Iters:[80/468] gen_loss 0.0955, rec_loss 0.0204, lpips_loss 0.2097, g_loss -0.0275, disc_weight 0.4000, disc_adaptive_weight 4.9610, d_loss 0.4643, logits_real 0.0194, logits_fake 0.0270,
Train Epoch: [2/30] Iters:[90/468] gen_loss 0.0825, rec_loss 0.0203, lpips_loss 0.2094, g_loss -0.0275, disc_weight 0.4000, disc_adaptive_weight 5.4316, d_loss 0.4623, logits_real 0.0193, logits_fake 0.0271,
Train Epoch: [2/30] Iters:[100/468] gen_loss 0.0946, rec_loss 0.0203, lpips_loss 0.2091, g_loss -0.0279, disc_weight 0.4000, disc_adaptive_weight 4.9055, d_loss 0.4604, logits_real 0.0193, logits_fake 0.0277,
Train Epoch: [2/30] Iters:[110/468] gen_loss 0.0951, rec_loss 0.0203, lpips_loss 0.2091, g_loss -0.0275, disc_weight 0.4000, disc_adaptive_weight 4.9334, d_loss 0.4585, logits_real 0.0195, logits_fake 0.0277,
Train Epoch: [2/30] Iters:[120/468] gen_loss 0.0882, rec_loss 0.0203, lpips_loss 0.2086, g_loss -0.0272, disc_weight 0.4000, disc_adaptive_weight 5.2387, d_loss 0.4565, logits_real 0.0195, logits_fake 0.0276,
Train Epoch: [2/30] Iters:[130/468] gen_loss 0.0810, rec_loss 0.0204, lpips_loss 0.2086, g_loss -0.0272, disc_weight 0.4000, disc_adaptive_weight 5.5269, d_loss 0.4548, logits_real 0.0196, logits_fake 0.0277,
Train Epoch: [2/30] Iters:[140/468] gen_loss 0.0956, rec_loss 0.0204, lpips_loss 0.2090, g_loss -0.0272, disc_weight 0.4000, disc_adaptive_weight 4.9673, d_loss 0.4531, logits_real 0.0198, logits_fake 0.0277,
Train Epoch: [2/30] Iters:[150/468] gen_loss 0.0937, rec_loss 0.0203, lpips_loss 0.2086, g_loss -0.0272, disc_weight 0.4000, disc_adaptive_weight 5.0116, d_loss 0.4512, logits_real 0.0200, logits_fake 0.0269,
Train Epoch: [2/30] Iters:[160/468] gen_loss 0.0838, rec_loss 0.0203, lpips_loss 0.2082, g_loss -0.0274, disc_weight 0.4000, disc_adaptive_weight 5.3231, d_loss 0.4498, logits_real 0.0200, logits_fake 0.0272,
Train Epoch: [2/30] Iters:[170/468] gen_loss 0.0927, rec_loss 0.0202, lpips_loss 0.2080, g_loss -0.0276, disc_weight 0.4000, disc_adaptive_weight 4.9426, d_loss 0.4483, logits_real 0.0202, logits_fake 0.0270,
Train Epoch: [2/30] Iters:[180/468] gen_loss 0.0956, rec_loss 0.0202, lpips_loss 0.2071, g_loss -0.0273, disc_weight 0.4000, disc_adaptive_weight 4.8226, d_loss 0.4469, logits_real 0.0204, logits_fake 0.0269,
Train Epoch: [2/30] Iters:[190/468] gen_loss 0.0999, rec_loss 0.0202, lpips_loss 0.2070, g_loss -0.0273, disc_weight 0.4000, disc_adaptive_weight 4.6806, d_loss 0.4457, logits_real 0.0205, logits_fake 0.0271,
Train Epoch: [2/30] Iters:[200/468] gen_loss 0.1033, rec_loss 0.0202, lpips_loss 0.2070, g_loss -0.0269, disc_weight 0.4000, disc_adaptive_weight 4.6288, d_loss 0.4447, logits_real 0.0207, logits_fake 0.0274,
Train Epoch: [2/30] Iters:[210/468] gen_loss 0.0991, rec_loss 0.0202, lpips_loss 0.2065, g_loss -0.0267, disc_weight 0.4000, disc_adaptive_weight 4.8105, d_loss 0.4432, logits_real 0.0209, logits_fake 0.0271,
Train Epoch: [2/30] Iters:[220/468] gen_loss 0.0969, rec_loss 0.0201, lpips_loss 0.2065, g_loss -0.0266, disc_weight 0.4000, disc_adaptive_weight 4.9179, d_loss 0.4419, logits_real 0.0208, logits_fake 0.0271,
Train Epoch: [2/30] Iters:[230/468] gen_loss 0.0938, rec_loss 0.0202, lpips_loss 0.2074, g_loss -0.0268, disc_weight 0.4000, disc_adaptive_weight 5.0200, d_loss 0.4405, logits_real 0.0206, logits_fake 0.0269,
Train Epoch: [2/30] Iters:[240/468] gen_loss 0.0792, rec_loss 0.0202, lpips_loss 0.2071, g_loss -0.0274, disc_weight 0.4000, disc_adaptive_weight 5.4062, d_loss 0.4393, logits_real 0.0206, logits_fake 0.0273,
Train Epoch: [2/30] Iters:[250/468] gen_loss 0.0809, rec_loss 0.0203, lpips_loss 0.2078, g_loss -0.0280, disc_weight 0.4000, disc_adaptive_weight 5.2916, d_loss 0.4381, logits_real 0.0207, logits_fake 0.0271,
Train Epoch: [2/30] Iters:[260/468] gen_loss 0.0888, rec_loss 0.0202, lpips_loss 0.2079, g_loss -0.0281, disc_weight 0.4000, disc_adaptive_weight 4.9921, d_loss 0.4373, logits_real 0.0205, logits_fake 0.0277,
Train Epoch: [2/30] Iters:[270/468] gen_loss 0.0816, rec_loss 0.0203, lpips_loss 0.2075, g_loss -0.0288, disc_weight 0.4000, disc_adaptive_weight 5.1059, d_loss 0.4364, logits_real 0.0211, logits_fake 0.0282,
Train Epoch: [2/30] Iters:[280/468] gen_loss 0.0782, rec_loss 0.0202, lpips_loss 0.2066, g_loss -0.0291, disc_weight 0.4000, disc_adaptive_weight 5.1387, d_loss 0.4356, logits_real 0.0219, logits_fake 0.0289,
Train Epoch: [2/30] Iters:[290/468] gen_loss 0.0820, rec_loss 0.0201, lpips_loss 0.2064, g_loss -0.0292, disc_weight 0.4000, disc_adaptive_weight 4.9830, d_loss 0.4347, logits_real 0.0222, logits_fake 0.0291,
Train Epoch: [2/30] Iters:[300/468] gen_loss 0.0628, rec_loss 0.0201, lpips_loss 0.2062, g_loss -0.0296, disc_weight 0.4000, disc_adaptive_weight 5.5534, d_loss 0.4340, logits_real 0.0224, logits_fake 0.0297,
Train Epoch: [2/30] Iters:[310/468] gen_loss 0.0634, rec_loss 0.0202, lpips_loss 0.2069, g_loss -0.0300, disc_weight 0.4000, disc_adaptive_weight 5.4916, d_loss 0.4333, logits_real 0.0229, logits_fake 0.0298,
Train Epoch: [2/30] Iters:[320/468] gen_loss 0.0741, rec_loss 0.0201, lpips_loss 0.2073, g_loss -0.0301, disc_weight 0.4000, disc_adaptive_weight 5.1422, d_loss 0.4325, logits_real 0.0229, logits_fake 0.0296,
Train Epoch: [2/30] Iters:[330/468] gen_loss 0.0733, rec_loss 0.0202, lpips_loss 0.2078, g_loss -0.0302, disc_weight 0.4000, disc_adaptive_weight 5.1624, d_loss 0.4317, logits_real 0.0229, logits_fake 0.0294,
Train Epoch: [2/30] Iters:[340/468] gen_loss 0.0669, rec_loss 0.0205, lpips_loss 0.2077, g_loss -0.0297, disc_weight 0.4000, disc_adaptive_weight 5.5174, d_loss 0.4310, logits_real 0.0229, logits_fake 0.0296,
Train Epoch: [2/30] Iters:[350/468] gen_loss 0.0696, rec_loss 0.0206, lpips_loss 0.2077, g_loss -0.0294, disc_weight 0.4000, disc_adaptive_weight 5.4861, d_loss 0.4305, logits_real 0.0232, logits_fake 0.0299,
Train Epoch: [2/30] Iters:[360/468] gen_loss 0.0611, rec_loss 0.0207, lpips_loss 0.2074, g_loss -0.0299, disc_weight 0.4000, disc_adaptive_weight 5.6816, d_loss 0.4297, logits_real 0.0232, logits_fake 0.0301,
Train Epoch: [2/30] Iters:[370/468] gen_loss 0.0509, rec_loss 0.0206, lpips_loss 0.2068, g_loss -0.0298, disc_weight 0.4000, disc_adaptive_weight 5.9928, d_loss 0.4294, logits_real 0.0234, logits_fake 0.0307,
Train Epoch: [2/30] Iters:[380/468] gen_loss 0.0530, rec_loss 0.0206, lpips_loss 0.2069, g_loss -0.0301, disc_weight 0.4000, disc_adaptive_weight 5.8666, d_loss 0.4288, logits_real 0.0235, logits_fake 0.0312,
Train Epoch: [2/30] Iters:[390/468] gen_loss 0.0637, rec_loss 0.0204, lpips_loss 0.2070, g_loss -0.0308, disc_weight 0.4000, disc_adaptive_weight 5.3489, d_loss 0.4282, logits_real 0.0238, logits_fake 0.0314,
Train Epoch: [2/30] Iters:[400/468] gen_loss 0.0675, rec_loss 0.0203, lpips_loss 0.2067, g_loss -0.0308, disc_weight 0.4000, disc_adaptive_weight 5.1869, d_loss 0.4274, logits_real 0.0238, logits_fake 0.0311,
Train Epoch: [2/30] Iters:[410/468] gen_loss 0.0676, rec_loss 0.0200, lpips_loss 0.2063, g_loss -0.0306, disc_weight 0.4000, disc_adaptive_weight 5.2009, d_loss 0.4267, logits_real 0.0239, logits_fake 0.0309,
Train Epoch: [2/30] Iters:[420/468] gen_loss 0.0687, rec_loss 0.0204, lpips_loss 0.2066, g_loss -0.0305, disc_weight 0.4000, disc_adaptive_weight 5.1757, d_loss 0.4260, logits_real 0.0238, logits_fake 0.0306,
Train Epoch: [2/30] Iters:[430/468] gen_loss 0.0533, rec_loss 0.0203, lpips_loss 0.2068, g_loss -0.0303, disc_weight 0.4000, disc_adaptive_weight 5.7427, d_loss 0.4255, logits_real 0.0238, logits_fake 0.0305,
Train Epoch: [2/30] Iters:[440/468] gen_loss 0.0417, rec_loss 0.0206, lpips_loss 0.2074, g_loss -0.0300, disc_weight 0.4000, disc_adaptive_weight 6.2264, d_loss 0.4251, logits_real 0.0238, logits_fake 0.0303,
Train Epoch: [2/30] Iters:[450/468] gen_loss 0.0467, rec_loss 0.0209, lpips_loss 0.2083, g_loss -0.0301, disc_weight 0.4000, disc_adaptive_weight 6.1005, d_loss 0.4247, logits_real 0.0235, logits_fake 0.0304,
Train Epoch: [2/30] Iters:[460/468] gen_loss 0.0522, rec_loss 0.0211, lpips_loss 0.2088, g_loss -0.0300, disc_weight 0.4000, disc_adaptive_weight 5.9704, d_loss 0.4242, logits_real 0.0234, logits_fake 0.0302,
epoch:3, cur_lr:0.000010
Train Epoch: [3/30] Iters:[10/468] gen_loss 0.0598, rec_loss 0.0203, lpips_loss 0.2085, g_loss -0.0307, disc_weight 0.4000, disc_adaptive_weight 5.5123, d_loss 0.4225, logits_real 0.0235, logits_fake 0.0306,
