Train Epoch: [2/30] Iters:[260/468] gen_loss -0.1126, rec_loss 0.0108, lpips_loss 0.1415, g_loss -0.0512, disc_weight 0.4000, disc_adaptive_weight 5.1794, d_loss 0.4352, logits_real 0.0471, logits_fake 0.0513,
Train Epoch: [2/30] Iters:[270/468] gen_loss -0.1136, rec_loss 0.0109, lpips_loss 0.1408, g_loss -0.0512, disc_weight 0.4000, disc_adaptive_weight 5.1910, d_loss 0.4342, logits_real 0.0471, logits_fake 0.0509,
Train Epoch: [2/30] Iters:[280/468] gen_loss -0.1103, rec_loss 0.0107, lpips_loss 0.1393, g_loss -0.0513, disc_weight 0.4000, disc_adaptive_weight 5.0748, d_loss 0.4335, logits_real 0.0470, logits_fake 0.0511,
Train Epoch: [2/30] Iters:[290/468] gen_loss -0.1081, rec_loss 0.0106, lpips_loss 0.1385, g_loss -0.0514, disc_weight 0.4000, disc_adaptive_weight 5.0041, d_loss 0.4328, logits_real 0.0468, logits_fake 0.0511,
Train Epoch: [2/30] Iters:[300/468] gen_loss -0.0995, rec_loss 0.0105, lpips_loss 0.1380, g_loss -0.0513, disc_weight 0.4000, disc_adaptive_weight 4.8271, d_loss 0.4318, logits_real 0.0468, logits_fake 0.0508,
Train Epoch: [2/30] Iters:[310/468] gen_loss -0.1144, rec_loss 0.0105, lpips_loss 0.1378, g_loss -0.0512, disc_weight 0.4000, disc_adaptive_weight 5.1370, d_loss 0.4311, logits_real 0.0465, logits_fake 0.0507,
Train Epoch: [2/30] Iters:[320/468] gen_loss -0.1118, rec_loss 0.0104, lpips_loss 0.1379, g_loss -0.0507, disc_weight 0.4000, disc_adaptive_weight 5.1278, d_loss 0.4304, logits_real 0.0463, logits_fake 0.0504,
Train Epoch: [2/30] Iters:[330/468] gen_loss -0.0994, rec_loss 0.0104, lpips_loss 0.1382, g_loss -0.0503, disc_weight 0.4000, disc_adaptive_weight 4.9283, d_loss 0.4297, logits_real 0.0460, logits_fake 0.0501,
Train Epoch: [2/30] Iters:[340/468] gen_loss -0.0995, rec_loss 0.0105, lpips_loss 0.1382, g_loss -0.0499, disc_weight 0.4000, disc_adaptive_weight 4.9750, d_loss 0.4288, logits_real 0.0461, logits_fake 0.0500,
Train Epoch: [2/30] Iters:[350/468] gen_loss -0.1199, rec_loss 0.0106, lpips_loss 0.1383, g_loss -0.0496, disc_weight 0.4000, disc_adaptive_weight 5.4184, d_loss 0.4282, logits_real 0.0459, logits_fake 0.0498,
Train Epoch: [2/30] Iters:[360/468] gen_loss -0.1117, rec_loss 0.0107, lpips_loss 0.1381, g_loss -0.0496, disc_weight 0.4000, disc_adaptive_weight 5.2466, d_loss 0.4275, logits_real 0.0459, logits_fake 0.0500,
Train Epoch: [2/30] Iters:[370/468] gen_loss -0.1198, rec_loss 0.0106, lpips_loss 0.1379, g_loss -0.0498, disc_weight 0.4000, disc_adaptive_weight 5.3848, d_loss 0.4269, logits_real 0.0456, logits_fake 0.0501,
Train Epoch: [2/30] Iters:[380/468] gen_loss -0.1377, rec_loss 0.0106, lpips_loss 0.1379, g_loss -0.0499, disc_weight 0.4000, disc_adaptive_weight 5.7444, d_loss 0.4262, logits_real 0.0453, logits_fake 0.0501,
Train Epoch: [2/30] Iters:[390/468] gen_loss -0.1347, rec_loss 0.0105, lpips_loss 0.1382, g_loss -0.0497, disc_weight 0.4000, disc_adaptive_weight 5.7056, d_loss 0.4258, logits_real 0.0449, logits_fake 0.0499,
Train Epoch: [2/30] Iters:[400/468] gen_loss -0.1236, rec_loss 0.0104, lpips_loss 0.1383, g_loss -0.0496, disc_weight 0.4000, disc_adaptive_weight 5.4919, d_loss 0.4251, logits_real 0.0446, logits_fake 0.0498,
Train Epoch: [2/30] Iters:[410/468] gen_loss -0.1395, rec_loss 0.0104, lpips_loss 0.1383, g_loss -0.0495, disc_weight 0.4000, disc_adaptive_weight 5.8258, d_loss 0.4245, logits_real 0.0444, logits_fake 0.0496,
Train Epoch: [2/30] Iters:[420/468] gen_loss -0.1473, rec_loss 0.0105, lpips_loss 0.1384, g_loss -0.0492, disc_weight 0.4000, disc_adaptive_weight 6.0202, d_loss 0.4239, logits_real 0.0445, logits_fake 0.0495,
Train Epoch: [2/30] Iters:[430/468] gen_loss -0.1392, rec_loss 0.0105, lpips_loss 0.1382, g_loss -0.0490, disc_weight 0.4000, disc_adaptive_weight 5.8769, d_loss 0.4234, logits_real 0.0444, logits_fake 0.0495,
Train Epoch: [2/30] Iters:[440/468] gen_loss -0.1337, rec_loss 0.0106, lpips_loss 0.1380, g_loss -0.0488, disc_weight 0.4000, disc_adaptive_weight 5.7946, d_loss 0.4229, logits_real 0.0441, logits_fake 0.0490,
Train Epoch: [2/30] Iters:[450/468] gen_loss -0.1413, rec_loss 0.0107, lpips_loss 0.1382, g_loss -0.0486, disc_weight 0.4000, disc_adaptive_weight 5.9641, d_loss 0.4226, logits_real 0.0439, logits_fake 0.0488,
Train Epoch: [2/30] Iters:[460/468] gen_loss -0.1542, rec_loss 0.0107, lpips_loss 0.1385, g_loss -0.0485, disc_weight 0.4000, disc_adaptive_weight 6.2517, d_loss 0.4222, logits_real 0.0437, logits_fake 0.0485,
epoch:3, cur_lr:0.000010
Train Epoch: [3/30] Iters:[10/468] gen_loss -0.1167, rec_loss 0.0107, lpips_loss 0.1415, g_loss -0.0481, disc_weight 0.4000, disc_adaptive_weight 5.5870, d_loss 0.4201, logits_real 0.0435, logits_fake 0.0481,
Train Epoch: [3/30] Iters:[20/468] gen_loss -0.1122, rec_loss 0.0108, lpips_loss 0.1407, g_loss -0.0482, disc_weight 0.4000, disc_adaptive_weight 5.4606, d_loss 0.4202, logits_real 0.0430, logits_fake 0.0480,
Train Epoch: [3/30] Iters:[30/468] gen_loss -0.1076, rec_loss 0.0107, lpips_loss 0.1405, g_loss -0.0479, disc_weight 0.4000, disc_adaptive_weight 5.3902, d_loss 0.4200, logits_real 0.0426, logits_fake 0.0479,
Train Epoch: [3/30] Iters:[40/468] gen_loss -0.1070, rec_loss 0.0107, lpips_loss 0.1402, g_loss -0.0478, disc_weight 0.4000, disc_adaptive_weight 5.3855, d_loss 0.4198, logits_real 0.0424, logits_fake 0.0477,
