Train Epoch: [2/30] Iters:[140/468] gen_loss 0.5074, rec_loss 0.0112, lpips_loss 0.1470, g_loss 0.0776, disc_weight 0.4000, disc_adaptive_weight 4.4945, d_loss 0.4683, logits_real -0.0818, logits_fake -0.0775,
Train Epoch: [2/30] Iters:[150/468] gen_loss 0.5155, rec_loss 0.0113, lpips_loss 0.1471, g_loss 0.0774, disc_weight 0.4000, disc_adaptive_weight 4.6104, d_loss 0.4660, logits_real -0.0818, logits_fake -0.0775,
Train Epoch: [2/30] Iters:[160/468] gen_loss 0.5071, rec_loss 0.0113, lpips_loss 0.1468, g_loss 0.0769, disc_weight 0.4000, disc_adaptive_weight 4.5309, d_loss 0.4641, logits_real -0.0817, logits_fake -0.0768,
Train Epoch: [2/30] Iters:[170/468] gen_loss 0.4931, rec_loss 0.0113, lpips_loss 0.1466, g_loss 0.0764, disc_weight 0.4000, disc_adaptive_weight 4.3820, d_loss 0.4620, logits_real -0.0816, logits_fake -0.0767,
Train Epoch: [2/30] Iters:[180/468] gen_loss 0.4737, rec_loss 0.0113, lpips_loss 0.1464, g_loss 0.0763, disc_weight 0.4000, disc_adaptive_weight 4.1408, d_loss 0.4599, logits_real -0.0817, logits_fake -0.0765,
Train Epoch: [2/30] Iters:[190/468] gen_loss 0.4601, rec_loss 0.0113, lpips_loss 0.1461, g_loss 0.0767, disc_weight 0.4000, disc_adaptive_weight 3.9505, d_loss 0.4582, logits_real -0.0819, logits_fake -0.0766,
Train Epoch: [2/30] Iters:[200/468] gen_loss 0.4615, rec_loss 0.0114, lpips_loss 0.1459, g_loss 0.0768, disc_weight 0.4000, disc_adaptive_weight 3.9589, d_loss 0.4569, logits_real -0.0819, logits_fake -0.0767,
Train Epoch: [2/30] Iters:[210/468] gen_loss 0.4911, rec_loss 0.0113, lpips_loss 0.1455, g_loss 0.0767, disc_weight 0.4000, disc_adaptive_weight 4.3574, d_loss 0.4552, logits_real -0.0822, logits_fake -0.0766,
Train Epoch: [2/30] Iters:[220/468] gen_loss 0.4809, rec_loss 0.0112, lpips_loss 0.1456, g_loss 0.0767, disc_weight 0.4000, disc_adaptive_weight 4.2214, d_loss 0.4535, logits_real -0.0824, logits_fake -0.0765,
Train Epoch: [2/30] Iters:[230/468] gen_loss 0.4874, rec_loss 0.0112, lpips_loss 0.1461, g_loss 0.0768, disc_weight 0.4000, disc_adaptive_weight 4.2902, d_loss 0.4518, logits_real -0.0824, logits_fake -0.0765,
