Train Epoch: [1/30] Iters:[600/1093] gen_loss -0.5124, rec_loss 0.0127, lpips_loss 0.1446, g_loss -0.1318, disc_weight 0.4000, disc_adaptive_weight 5.0825, d_loss 0.4632, logits_real 0.1248, logits_fake 0.1319,
Train Epoch: [1/30] Iters:[610/1093] gen_loss -0.4441, rec_loss 0.0126, lpips_loss 0.1440, g_loss -0.1315, disc_weight 0.4000, disc_adaptive_weight 4.5725, d_loss 0.4610, logits_real 0.1247, logits_fake 0.1315,
Train Epoch: [1/30] Iters:[620/1093] gen_loss -0.4360, rec_loss 0.0125, lpips_loss 0.1432, g_loss -0.1309, disc_weight 0.4000, disc_adaptive_weight 4.5238, d_loss 0.4592, logits_real 0.1247, logits_fake 0.1310,
Train Epoch: [1/30] Iters:[630/1093] gen_loss -0.4268, rec_loss 0.0125, lpips_loss 0.1433, g_loss -0.1307, disc_weight 0.4000, disc_adaptive_weight 4.4611, d_loss 0.4574, logits_real 0.1248, logits_fake 0.1307,
Train Epoch: [1/30] Iters:[640/1093] gen_loss -0.5427, rec_loss 0.0127, lpips_loss 0.1438, g_loss -0.1305, disc_weight 0.4000, disc_adaptive_weight 5.3716, d_loss 0.4558, logits_real 0.1247, logits_fake 0.1302,
Train Epoch: [1/30] Iters:[650/1093] gen_loss -0.6089, rec_loss 0.0126, lpips_loss 0.1447, g_loss -0.1301, disc_weight 0.4000, disc_adaptive_weight 5.9023, d_loss 0.4542, logits_real 0.1244, logits_fake 0.1299,
Train Epoch: [1/30] Iters:[660/1093] gen_loss -0.6266, rec_loss 0.0128, lpips_loss 0.1461, g_loss -0.1300, disc_weight 0.4000, disc_adaptive_weight 6.0554, d_loss 0.4524, logits_real 0.1241, logits_fake 0.1298,
Train Epoch: [1/30] Iters:[670/1093] gen_loss -0.6164, rec_loss 0.0128, lpips_loss 0.1468, g_loss -0.1300, disc_weight 0.4000, disc_adaptive_weight 5.9831, d_loss 0.4510, logits_real 0.1240, logits_fake 0.1300,
Train Epoch: [1/30] Iters:[680/1093] gen_loss -0.6369, rec_loss 0.0128, lpips_loss 0.1466, g_loss -0.1300, disc_weight 0.4000, disc_adaptive_weight 6.1398, d_loss 0.4493, logits_real 0.1240, logits_fake 0.1299,
Train Epoch: [1/30] Iters:[690/1093] gen_loss -0.5082, rec_loss 0.0126, lpips_loss 0.1462, g_loss -0.1302, disc_weight 0.4000, disc_adaptive_weight 5.1298, d_loss 0.4479, logits_real 0.1241, logits_fake 0.1303,
Train Epoch: [1/30] Iters:[700/1093] gen_loss -0.4365, rec_loss 0.0125, lpips_loss 0.1456, g_loss -0.1305, disc_weight 0.4000, disc_adaptive_weight 4.5617, d_loss 0.4465, logits_real 0.1243, logits_fake 0.1302,
Train Epoch: [1/30] Iters:[710/1093] gen_loss -0.4465, rec_loss 0.0123, lpips_loss 0.1446, g_loss -0.1305, disc_weight 0.4000, disc_adaptive_weight 4.6324, d_loss 0.4452, logits_real 0.1246, logits_fake 0.1301,
Train Epoch: [1/30] Iters:[720/1093] gen_loss -0.4730, rec_loss 0.0122, lpips_loss 0.1442, g_loss -0.1305, disc_weight 0.4000, disc_adaptive_weight 4.8290, d_loss 0.4436, logits_real 0.1246, logits_fake 0.1299,
Train Epoch: [1/30] Iters:[730/1093] gen_loss -0.4760, rec_loss 0.0122, lpips_loss 0.1444, g_loss -0.1306, disc_weight 0.4000, disc_adaptive_weight 4.8498, d_loss 0.4426, logits_real 0.1247, logits_fake 0.1301,
Train Epoch: [1/30] Iters:[740/1093] gen_loss -0.5395, rec_loss 0.0123, lpips_loss 0.1448, g_loss -0.1305, disc_weight 0.4000, disc_adaptive_weight 5.3419, d_loss 0.4413, logits_real 0.1247, logits_fake 0.1301,
Train Epoch: [1/30] Iters:[750/1093] gen_loss -0.5719, rec_loss 0.0124, lpips_loss 0.1448, g_loss -0.1305, disc_weight 0.4000, disc_adaptive_weight 5.5935, d_loss 0.4404, logits_real 0.1248, logits_fake 0.1304,
Train Epoch: [1/30] Iters:[760/1093] gen_loss -0.5652, rec_loss 0.0125, lpips_loss 0.1449, g_loss -0.1306, disc_weight 0.4000, disc_adaptive_weight 5.5357, d_loss 0.4393, logits_real 0.1247, logits_fake 0.1306,
Train Epoch: [1/30] Iters:[770/1093] gen_loss -0.5445, rec_loss 0.0125, lpips_loss 0.1447, g_loss -0.1302, disc_weight 0.4000, disc_adaptive_weight 5.3901, d_loss 0.4386, logits_real 0.1247, logits_fake 0.1305,
Train Epoch: [1/30] Iters:[780/1093] gen_loss -0.5117, rec_loss 0.0125, lpips_loss 0.1448, g_loss -0.1301, disc_weight 0.4000, disc_adaptive_weight 5.1424, d_loss 0.4378, logits_real 0.1246, logits_fake 0.1304,
Train Epoch: [1/30] Iters:[790/1093] gen_loss -0.4468, rec_loss 0.0124, lpips_loss 0.1446, g_loss -0.1299, disc_weight 0.4000, disc_adaptive_weight 4.6515, d_loss 0.4369, logits_real 0.1244, logits_fake 0.1300,
Train Epoch: [1/30] Iters:[800/1093] gen_loss -0.4205, rec_loss 0.0123, lpips_loss 0.1441, g_loss -0.1296, disc_weight 0.4000, disc_adaptive_weight 4.4525, d_loss 0.4359, logits_real 0.1243, logits_fake 0.1296,
Train Epoch: [1/30] Iters:[810/1093] gen_loss -0.4019, rec_loss 0.0120, lpips_loss 0.1431, g_loss -0.1289, disc_weight 0.4000, disc_adaptive_weight 4.3237, d_loss 0.4349, logits_real 0.1239, logits_fake 0.1289,
Train Epoch: [1/30] Iters:[820/1093] gen_loss -0.4136, rec_loss 0.0120, lpips_loss 0.1431, g_loss -0.1285, disc_weight 0.4000, disc_adaptive_weight 4.4288, d_loss 0.4340, logits_real 0.1236, logits_fake 0.1285,
Train Epoch: [1/30] Iters:[830/1093] gen_loss -0.4254, rec_loss 0.0121, lpips_loss 0.1435, g_loss -0.1279, disc_weight 0.4000, disc_adaptive_weight 4.5448, d_loss 0.4329, logits_real 0.1232, logits_fake 0.1278,
Train Epoch: [1/30] Iters:[840/1093] gen_loss -0.4480, rec_loss 0.0120, lpips_loss 0.1431, g_loss -0.1275, disc_weight 0.4000, disc_adaptive_weight 4.7291, d_loss 0.4322, logits_real 0.1229, logits_fake 0.1277,
Train Epoch: [1/30] Iters:[850/1093] gen_loss -0.5299, rec_loss 0.0121, lpips_loss 0.1434, g_loss -0.1273, disc_weight 0.4000, disc_adaptive_weight 5.3822, d_loss 0.4316, logits_real 0.1226, logits_fake 0.1275,
Train Epoch: [1/30] Iters:[860/1093] gen_loss -0.5280, rec_loss 0.0124, lpips_loss 0.1446, g_loss -0.1275, disc_weight 0.4000, disc_adaptive_weight 5.3713, d_loss 0.4311, logits_real 0.1225, logits_fake 0.1277,
Train Epoch: [1/30] Iters:[870/1093] gen_loss -0.5258, rec_loss 0.0123, lpips_loss 0.1447, g_loss -0.1278, disc_weight 0.4000, disc_adaptive_weight 5.3454, d_loss 0.4303, logits_real 0.1225, logits_fake 0.1277,
Train Epoch: [1/30] Iters:[880/1093] gen_loss -0.6286, rec_loss 0.0124, lpips_loss 0.1447, g_loss -0.1277, disc_weight 0.4000, disc_adaptive_weight 6.1604, d_loss 0.4296, logits_real 0.1227, logits_fake 0.1277,
Train Epoch: [1/30] Iters:[890/1093] gen_loss -0.6565, rec_loss 0.0126, lpips_loss 0.1458, g_loss -0.1278, disc_weight 0.4000, disc_adaptive_weight 6.3864, d_loss 0.4290, logits_real 0.1226, logits_fake 0.1276,
Train Epoch: [1/30] Iters:[900/1093] gen_loss -0.5937, rec_loss 0.0125, lpips_loss 0.1462, g_loss -0.1276, disc_weight 0.4000, disc_adaptive_weight 5.9023, d_loss 0.4282, logits_real 0.1225, logits_fake 0.1276,
Train Epoch: [1/30] Iters:[910/1093] gen_loss -0.6388, rec_loss 0.0124, lpips_loss 0.1461, g_loss -0.1273, disc_weight 0.4000, disc_adaptive_weight 6.2683, d_loss 0.4276, logits_real 0.1223, logits_fake 0.1275,
Train Epoch: [1/30] Iters:[920/1093] gen_loss -0.6259, rec_loss 0.0123, lpips_loss 0.1458, g_loss -0.1269, disc_weight 0.4000, disc_adaptive_weight 6.1811, d_loss 0.4270, logits_real 0.1221, logits_fake 0.1273,
Train Epoch: [1/30] Iters:[930/1093] gen_loss -0.5258, rec_loss 0.0122, lpips_loss 0.1452, g_loss -0.1269, disc_weight 0.4000, disc_adaptive_weight 5.3856, d_loss 0.4265, logits_real 0.1218, logits_fake 0.1272,
Train Epoch: [1/30] Iters:[940/1093] gen_loss -0.4752, rec_loss 0.0121, lpips_loss 0.1442, g_loss -0.1265, disc_weight 0.4000, disc_adaptive_weight 4.9915, d_loss 0.4259, logits_real 0.1216, logits_fake 0.1270,
Train Epoch: [1/30] Iters:[950/1093] gen_loss -0.5257, rec_loss 0.0121, lpips_loss 0.1440, g_loss -0.1264, disc_weight 0.4000, disc_adaptive_weight 5.3976, d_loss 0.4254, logits_real 0.1213, logits_fake 0.1268,
Train Epoch: [1/30] Iters:[960/1093] gen_loss -0.5244, rec_loss 0.0120, lpips_loss 0.1437, g_loss -0.1262, disc_weight 0.4000, disc_adaptive_weight 5.3935, d_loss 0.4246, logits_real 0.1210, logits_fake 0.1264,
Train Epoch: [1/30] Iters:[970/1093] gen_loss -0.5361, rec_loss 0.0120, lpips_loss 0.1441, g_loss -0.1259, disc_weight 0.4000, disc_adaptive_weight 5.4967, d_loss 0.4241, logits_real 0.1207, logits_fake 0.1260,
Train Epoch: [1/30] Iters:[980/1093] gen_loss -0.5461, rec_loss 0.0121, lpips_loss 0.1447, g_loss -0.1254, disc_weight 0.4000, disc_adaptive_weight 5.6023, d_loss 0.4235, logits_real 0.1203, logits_fake 0.1257,
Train Epoch: [1/30] Iters:[990/1093] gen_loss -0.5855, rec_loss 0.0122, lpips_loss 0.1447, g_loss -0.1250, disc_weight 0.4000, disc_adaptive_weight 5.9342, d_loss 0.4230, logits_real 0.1200, logits_fake 0.1251,
Train Epoch: [1/30] Iters:[1000/1093] gen_loss -0.5416, rec_loss 0.0121, lpips_loss 0.1442, g_loss -0.1245, disc_weight 0.4000, disc_adaptive_weight 5.6018, d_loss 0.4224, logits_real 0.1198, logits_fake 0.1247,
Train Epoch: [1/30] Iters:[1010/1093] gen_loss -0.5014, rec_loss 0.0122, lpips_loss 0.1440, g_loss -0.1241, disc_weight 0.4000, disc_adaptive_weight 5.2969, d_loss 0.4220, logits_real 0.1195, logits_fake 0.1243,
