Train Epoch: [1/30] Iters:[470/1093] gen_loss 0.1404, rec_loss 0.0123, lpips_loss 0.1479, g_loss -0.0061, disc_weight 0.4000, disc_adaptive_weight 3.3795, d_loss 0.4838, logits_real 0.0034, logits_fake 0.0062,
Train Epoch: [1/30] Iters:[480/1093] gen_loss 0.1420, rec_loss 0.0122, lpips_loss 0.1481, g_loss -0.0054, disc_weight 0.4000, disc_adaptive_weight 3.5269, d_loss 0.4813, logits_real 0.0021, logits_fake 0.0052,
Train Epoch: [1/30] Iters:[490/1093] gen_loss 0.1437, rec_loss 0.0122, lpips_loss 0.1478, g_loss -0.0047, disc_weight 0.4000, disc_adaptive_weight 3.6589, d_loss 0.4789, logits_real 0.0013, logits_fake 0.0045,
Train Epoch: [1/30] Iters:[500/1093] gen_loss 0.1477, rec_loss 0.0125, lpips_loss 0.1492, g_loss -0.0038, disc_weight 0.4000, disc_adaptive_weight 3.7455, d_loss 0.4766, logits_real 0.0004, logits_fake 0.0037,
Train Epoch: [1/30] Iters:[510/1093] gen_loss 0.1487, rec_loss 0.0125, lpips_loss 0.1491, g_loss -0.0036, disc_weight 0.4000, disc_adaptive_weight 3.6621, d_loss 0.4746, logits_real -0.0003, logits_fake 0.0036,
Train Epoch: [1/30] Iters:[520/1093] gen_loss 0.1499, rec_loss 0.0124, lpips_loss 0.1481, g_loss -0.0031, disc_weight 0.4000, disc_adaptive_weight 3.3877, d_loss 0.4721, logits_real -0.0010, logits_fake 0.0031,
Train Epoch: [1/30] Iters:[530/1093] gen_loss 0.1522, rec_loss 0.0124, lpips_loss 0.1477, g_loss -0.0024, disc_weight 0.4000, disc_adaptive_weight 3.4114, d_loss 0.4695, logits_real -0.0015, logits_fake 0.0024,
Train Epoch: [1/30] Iters:[540/1093] gen_loss 0.1544, rec_loss 0.0122, lpips_loss 0.1477, g_loss -0.0018, disc_weight 0.4000, disc_adaptive_weight 3.2367, d_loss 0.4676, logits_real -0.0022, logits_fake 0.0021,
Train Epoch: [1/30] Iters:[550/1093] gen_loss 0.1544, rec_loss 0.0118, lpips_loss 0.1459, g_loss -0.0012, disc_weight 0.4000, disc_adaptive_weight 3.2535, d_loss 0.4649, logits_real -0.0029, logits_fake 0.0015,
Train Epoch: [1/30] Iters:[560/1093] gen_loss 0.1571, rec_loss 0.0118, lpips_loss 0.1462, g_loss -0.0005, disc_weight 0.4000, disc_adaptive_weight 3.2268, d_loss 0.4628, logits_real -0.0038, logits_fake 0.0006,
Train Epoch: [1/30] Iters:[570/1093] gen_loss 0.1602, rec_loss 0.0119, lpips_loss 0.1470, g_loss 0.0003, disc_weight 0.4000, disc_adaptive_weight 3.2058, d_loss 0.4611, logits_real -0.0045, logits_fake 0.0000,
Train Epoch: [1/30] Iters:[580/1093] gen_loss 0.1631, rec_loss 0.0119, lpips_loss 0.1466, g_loss 0.0013, disc_weight 0.4000, disc_adaptive_weight 3.1458, d_loss 0.4593, logits_real -0.0053, logits_fake -0.0009,
Train Epoch: [1/30] Iters:[590/1093] gen_loss 0.1679, rec_loss 0.0118, lpips_loss 0.1462, g_loss 0.0025, disc_weight 0.4000, disc_adaptive_weight 3.4011, d_loss 0.4574, logits_real -0.0062, logits_fake -0.0020,
Train Epoch: [1/30] Iters:[600/1093] gen_loss 0.1724, rec_loss 0.0120, lpips_loss 0.1469, g_loss 0.0035, disc_weight 0.4000, disc_adaptive_weight 3.4268, d_loss 0.4561, logits_real -0.0071, logits_fake -0.0029,
Train Epoch: [1/30] Iters:[610/1093] gen_loss 0.1751, rec_loss 0.0120, lpips_loss 0.1466, g_loss 0.0043, disc_weight 0.4000, disc_adaptive_weight 3.5326, d_loss 0.4544, logits_real -0.0079, logits_fake -0.0040,
Train Epoch: [1/30] Iters:[620/1093] gen_loss 0.1783, rec_loss 0.0121, lpips_loss 0.1463, g_loss 0.0052, disc_weight 0.4000, disc_adaptive_weight 3.6862, d_loss 0.4531, logits_real -0.0087, logits_fake -0.0049,
Train Epoch: [1/30] Iters:[630/1093] gen_loss 0.1814, rec_loss 0.0122, lpips_loss 0.1469, g_loss 0.0058, disc_weight 0.4000, disc_adaptive_weight 3.7124, d_loss 0.4518, logits_real -0.0095, logits_fake -0.0054,
Train Epoch: [1/30] Iters:[640/1093] gen_loss 0.1824, rec_loss 0.0123, lpips_loss 0.1468, g_loss 0.0063, disc_weight 0.4000, disc_adaptive_weight 3.5818, d_loss 0.4504, logits_real -0.0101, logits_fake -0.0063,
Train Epoch: [1/30] Iters:[650/1093] gen_loss 0.1883, rec_loss 0.0122, lpips_loss 0.1467, g_loss 0.0069, disc_weight 0.4000, disc_adaptive_weight 3.9910, d_loss 0.4489, logits_real -0.0107, logits_fake -0.0068,
Train Epoch: [1/30] Iters:[660/1093] gen_loss 0.1905, rec_loss 0.0122, lpips_loss 0.1473, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 3.9468, d_loss 0.4475, logits_real -0.0113, logits_fake -0.0073,
Train Epoch: [1/30] Iters:[670/1093] gen_loss 0.1908, rec_loss 0.0121, lpips_loss 0.1475, g_loss 0.0079, disc_weight 0.4000, disc_adaptive_weight 3.8048, d_loss 0.4463, logits_real -0.0120, logits_fake -0.0077,
Train Epoch: [1/30] Iters:[680/1093] gen_loss 0.1941, rec_loss 0.0121, lpips_loss 0.1474, g_loss 0.0084, disc_weight 0.4000, disc_adaptive_weight 3.9915, d_loss 0.4448, logits_real -0.0124, logits_fake -0.0084,
Train Epoch: [1/30] Iters:[690/1093] gen_loss 0.2000, rec_loss 0.0121, lpips_loss 0.1477, g_loss 0.0089, disc_weight 0.4000, disc_adaptive_weight 4.3760, d_loss 0.4435, logits_real -0.0130, logits_fake -0.0087,
Train Epoch: [1/30] Iters:[700/1093] gen_loss 0.1994, rec_loss 0.0122, lpips_loss 0.1482, g_loss 0.0092, disc_weight 0.4000, disc_adaptive_weight 4.1300, d_loss 0.4425, logits_real -0.0135, logits_fake -0.0092,
