Train Epoch: [1/30] Iters:[790/1093] gen_loss 0.1956, rec_loss 0.0109, lpips_loss 0.1364, g_loss 0.0131, disc_weight 0.4000, disc_adaptive_weight 3.6917, d_loss 0.4337, logits_real -0.0174, logits_fake -0.0130,
Train Epoch: [1/30] Iters:[800/1093] gen_loss 0.1978, rec_loss 0.0110, lpips_loss 0.1366, g_loss 0.0135, disc_weight 0.4000, disc_adaptive_weight 3.7285, d_loss 0.4328, logits_real -0.0179, logits_fake -0.0136,
Train Epoch: [1/30] Iters:[810/1093] gen_loss 0.2011, rec_loss 0.0109, lpips_loss 0.1362, g_loss 0.0142, disc_weight 0.4000, disc_adaptive_weight 3.7936, d_loss 0.4321, logits_real -0.0186, logits_fake -0.0142,
Train Epoch: [1/30] Iters:[820/1093] gen_loss 0.2044, rec_loss 0.0110, lpips_loss 0.1366, g_loss 0.0150, disc_weight 0.4000, disc_adaptive_weight 3.7816, d_loss 0.4314, logits_real -0.0192, logits_fake -0.0150,
Train Epoch: [1/30] Iters:[830/1093] gen_loss 0.2102, rec_loss 0.0110, lpips_loss 0.1370, g_loss 0.0159, disc_weight 0.4000, disc_adaptive_weight 3.8619, d_loss 0.4308, logits_real -0.0201, logits_fake -0.0159,
Train Epoch: [1/30] Iters:[840/1093] gen_loss 0.2160, rec_loss 0.0109, lpips_loss 0.1367, g_loss 0.0166, disc_weight 0.4000, disc_adaptive_weight 4.0743, d_loss 0.4302, logits_real -0.0208, logits_fake -0.0165,
Train Epoch: [1/30] Iters:[850/1093] gen_loss 0.2167, rec_loss 0.0109, lpips_loss 0.1366, g_loss 0.0172, disc_weight 0.4000, disc_adaptive_weight 4.0004, d_loss 0.4295, logits_real -0.0215, logits_fake -0.0171,
Train Epoch: [1/30] Iters:[860/1093] gen_loss 0.2203, rec_loss 0.0111, lpips_loss 0.1373, g_loss 0.0178, disc_weight 0.4000, disc_adaptive_weight 4.0237, d_loss 0.4290, logits_real -0.0222, logits_fake -0.0177,
Train Epoch: [1/30] Iters:[870/1093] gen_loss 0.2219, rec_loss 0.0110, lpips_loss 0.1371, g_loss 0.0183, disc_weight 0.4000, disc_adaptive_weight 4.0200, d_loss 0.4282, logits_real -0.0227, logits_fake -0.0183,
Train Epoch: [1/30] Iters:[880/1093] gen_loss 0.2218, rec_loss 0.0109, lpips_loss 0.1367, g_loss 0.0186, disc_weight 0.4000, disc_adaptive_weight 3.9650, d_loss 0.4274, logits_real -0.0229, logits_fake -0.0185,
Train Epoch: [1/30] Iters:[890/1093] gen_loss 0.2254, rec_loss 0.0111, lpips_loss 0.1370, g_loss 0.0188, disc_weight 0.4000, disc_adaptive_weight 4.0846, d_loss 0.4268, logits_real -0.0234, logits_fake -0.0189,
Train Epoch: [1/30] Iters:[900/1093] gen_loss 0.2290, rec_loss 0.0110, lpips_loss 0.1373, g_loss 0.0193, disc_weight 0.4000, disc_adaptive_weight 4.1719, d_loss 0.4263, logits_real -0.0239, logits_fake -0.0193,
Train Epoch: [1/30] Iters:[910/1093] gen_loss 0.2295, rec_loss 0.0110, lpips_loss 0.1375, g_loss 0.0196, disc_weight 0.4000, disc_adaptive_weight 4.1300, d_loss 0.4256, logits_real -0.0242, logits_fake -0.0196,
Train Epoch: [1/30] Iters:[920/1093] gen_loss 0.2302, rec_loss 0.0110, lpips_loss 0.1373, g_loss 0.0201, disc_weight 0.4000, disc_adaptive_weight 4.0834, d_loss 0.4251, logits_real -0.0248, logits_fake -0.0200,
Train Epoch: [1/30] Iters:[930/1093] gen_loss 0.2302, rec_loss 0.0109, lpips_loss 0.1370, g_loss 0.0205, disc_weight 0.4000, disc_adaptive_weight 4.0118, d_loss 0.4246, logits_real -0.0253, logits_fake -0.0205,
Train Epoch: [1/30] Iters:[940/1093] gen_loss 0.2246, rec_loss 0.0109, lpips_loss 0.1369, g_loss 0.0210, disc_weight 0.4000, disc_adaptive_weight 3.6447, d_loss 0.4241, logits_real -0.0256, logits_fake -0.0209,
Train Epoch: [1/30] Iters:[950/1093] gen_loss 0.2297, rec_loss 0.0110, lpips_loss 0.1371, g_loss 0.0213, disc_weight 0.4000, disc_adaptive_weight 3.8182, d_loss 0.4237, logits_real -0.0258, logits_fake -0.0213,
Train Epoch: [1/30] Iters:[960/1093] gen_loss 0.2299, rec_loss 0.0108, lpips_loss 0.1370, g_loss 0.0216, disc_weight 0.4000, disc_adaptive_weight 3.7845, d_loss 0.4231, logits_real -0.0261, logits_fake -0.0216,
Train Epoch: [1/30] Iters:[970/1093] gen_loss 0.2313, rec_loss 0.0108, lpips_loss 0.1373, g_loss 0.0218, disc_weight 0.4000, disc_adaptive_weight 3.7964, d_loss 0.4226, logits_real -0.0261, logits_fake -0.0220,
Train Epoch: [1/30] Iters:[980/1093] gen_loss 0.2321, rec_loss 0.0110, lpips_loss 0.1379, g_loss 0.0221, disc_weight 0.4000, disc_adaptive_weight 3.7520, d_loss 0.4222, logits_real -0.0263, logits_fake -0.0221,
Train Epoch: [1/30] Iters:[990/1093] gen_loss 0.2349, rec_loss 0.0109, lpips_loss 0.1376, g_loss 0.0224, disc_weight 0.4000, disc_adaptive_weight 3.8556, d_loss 0.4216, logits_real -0.0264, logits_fake -0.0224,
Train Epoch: [1/30] Iters:[1000/1093] gen_loss 0.2321, rec_loss 0.0109, lpips_loss 0.1371, g_loss 0.0226, disc_weight 0.4000, disc_adaptive_weight 3.7186, d_loss 0.4211, logits_real -0.0265, logits_fake -0.0225,
Train Epoch: [1/30] Iters:[1010/1093] gen_loss 0.2368, rec_loss 0.0109, lpips_loss 0.1369, g_loss 0.0228, disc_weight 0.4000, disc_adaptive_weight 3.8943, d_loss 0.4206, logits_real -0.0266, logits_fake -0.0227,
