Train Epoch: [1/30] Iters:[670/1093] gen_loss 0.0225, rec_loss 0.0132, lpips_loss 0.1540, g_loss -0.0391, disc_weight 0.4000, disc_adaptive_weight 3.6994, d_loss 0.4573, logits_real 0.0315, logits_fake 0.0394,
Train Epoch: [1/30] Iters:[680/1093] gen_loss 0.0169, rec_loss 0.0131, lpips_loss 0.1534, g_loss -0.0397, disc_weight 0.4000, disc_adaptive_weight 3.7651, d_loss 0.4554, logits_real 0.0321, logits_fake 0.0398,
Train Epoch: [1/30] Iters:[690/1093] gen_loss 0.0119, rec_loss 0.0130, lpips_loss 0.1532, g_loss -0.0399, disc_weight 0.4000, disc_adaptive_weight 3.8722, d_loss 0.4537, logits_real 0.0325, logits_fake 0.0402,
Train Epoch: [1/30] Iters:[700/1093] gen_loss 0.0094, rec_loss 0.0131, lpips_loss 0.1536, g_loss -0.0403, disc_weight 0.4000, disc_adaptive_weight 3.9073, d_loss 0.4522, logits_real 0.0329, logits_fake 0.0403,
Train Epoch: [1/30] Iters:[710/1093] gen_loss -0.0006, rec_loss 0.0131, lpips_loss 0.1535, g_loss -0.0407, disc_weight 0.4000, disc_adaptive_weight 4.1173, d_loss 0.4507, logits_real 0.0332, logits_fake 0.0404,
Train Epoch: [1/30] Iters:[720/1093] gen_loss 0.0021, rec_loss 0.0132, lpips_loss 0.1536, g_loss -0.0407, disc_weight 0.4000, disc_adaptive_weight 4.0471, d_loss 0.4491, logits_real 0.0335, logits_fake 0.0406,
Train Epoch: [1/30] Iters:[730/1093] gen_loss 0.0049, rec_loss 0.0133, lpips_loss 0.1539, g_loss -0.0410, disc_weight 0.4000, disc_adaptive_weight 3.9640, d_loss 0.4477, logits_real 0.0338, logits_fake 0.0408,
Train Epoch: [1/30] Iters:[740/1093] gen_loss 0.0004, rec_loss 0.0133, lpips_loss 0.1543, g_loss -0.0412, disc_weight 0.4000, disc_adaptive_weight 4.0627, d_loss 0.4462, logits_real 0.0341, logits_fake 0.0411,
Train Epoch: [1/30] Iters:[750/1093] gen_loss -0.0062, rec_loss 0.0133, lpips_loss 0.1538, g_loss -0.0413, disc_weight 0.4000, disc_adaptive_weight 4.2006, d_loss 0.4451, logits_real 0.0345, logits_fake 0.0415,
Train Epoch: [1/30] Iters:[760/1093] gen_loss 0.0111, rec_loss 0.0133, lpips_loss 0.1534, g_loss -0.0415, disc_weight 0.4000, disc_adaptive_weight 3.7516, d_loss 0.4437, logits_real 0.0349, logits_fake 0.0418,
