Train Epoch: [1/30] Iters:[660/1093] gen_loss -0.1761, rec_loss 0.0109, lpips_loss 0.1354, g_loss -0.1011, disc_weight 0.4000, disc_adaptive_weight 3.1927, d_loss 0.4500, logits_real 0.0961, logits_fake 0.1010,
Train Epoch: [1/30] Iters:[670/1093] gen_loss -0.1982, rec_loss 0.0107, lpips_loss 0.1353, g_loss -0.1009, disc_weight 0.4000, disc_adaptive_weight 3.4151, d_loss 0.4487, logits_real 0.0961, logits_fake 0.1012,
Train Epoch: [1/30] Iters:[680/1093] gen_loss -0.2077, rec_loss 0.0107, lpips_loss 0.1350, g_loss -0.1011, disc_weight 0.4000, disc_adaptive_weight 3.4995, d_loss 0.4474, logits_real 0.0961, logits_fake 0.1013,
Train Epoch: [1/30] Iters:[690/1093] gen_loss -0.2270, rec_loss 0.0106, lpips_loss 0.1347, g_loss -0.1012, disc_weight 0.4000, disc_adaptive_weight 3.6860, d_loss 0.4462, logits_real 0.0962, logits_fake 0.1015,
Train Epoch: [1/30] Iters:[700/1093] gen_loss -0.2211, rec_loss 0.0107, lpips_loss 0.1352, g_loss -0.1015, disc_weight 0.4000, disc_adaptive_weight 3.6183, d_loss 0.4450, logits_real 0.0962, logits_fake 0.1016,
Train Epoch: [1/30] Iters:[710/1093] gen_loss -0.2230, rec_loss 0.0107, lpips_loss 0.1351, g_loss -0.1019, disc_weight 0.4000, disc_adaptive_weight 3.6220, d_loss 0.4439, logits_real 0.0964, logits_fake 0.1019,
Train Epoch: [1/30] Iters:[720/1093] gen_loss -0.2186, rec_loss 0.0108, lpips_loss 0.1352, g_loss -0.1019, disc_weight 0.4000, disc_adaptive_weight 3.5811, d_loss 0.4424, logits_real 0.0965, logits_fake 0.1019,
Train Epoch: [1/30] Iters:[730/1093] gen_loss -0.2336, rec_loss 0.0108, lpips_loss 0.1353, g_loss -0.1018, disc_weight 0.4000, disc_adaptive_weight 3.7324, d_loss 0.4415, logits_real 0.0966, logits_fake 0.1020,
Train Epoch: [1/30] Iters:[740/1093] gen_loss -0.2237, rec_loss 0.0108, lpips_loss 0.1355, g_loss -0.1018, disc_weight 0.4000, disc_adaptive_weight 3.6336, d_loss 0.4403, logits_real 0.0966, logits_fake 0.1021,
Train Epoch: [1/30] Iters:[750/1093] gen_loss -0.2297, rec_loss 0.0108, lpips_loss 0.1350, g_loss -0.1016, disc_weight 0.4000, disc_adaptive_weight 3.6976, d_loss 0.4394, logits_real 0.0963, logits_fake 0.1018,
Train Epoch: [1/30] Iters:[760/1093] gen_loss -0.2256, rec_loss 0.0108, lpips_loss 0.1347, g_loss -0.1013, disc_weight 0.4000, disc_adaptive_weight 3.6606, d_loss 0.4385, logits_real 0.0961, logits_fake 0.1014,
Train Epoch: [1/30] Iters:[770/1093] gen_loss -0.2053, rec_loss 0.0108, lpips_loss 0.1342, g_loss -0.1010, disc_weight 0.4000, disc_adaptive_weight 3.4626, d_loss 0.4376, logits_real 0.0958, logits_fake 0.1011,
Train Epoch: [1/30] Iters:[780/1093] gen_loss -0.1771, rec_loss 0.0108, lpips_loss 0.1345, g_loss -0.1006, disc_weight 0.4000, disc_adaptive_weight 3.2006, d_loss 0.4367, logits_real 0.0953, logits_fake 0.1006,
Train Epoch: [1/30] Iters:[790/1093] gen_loss -0.1878, rec_loss 0.0108, lpips_loss 0.1347, g_loss -0.1002, disc_weight 0.4000, disc_adaptive_weight 3.3241, d_loss 0.4360, logits_real 0.0950, logits_fake 0.1000,
Train Epoch: [1/30] Iters:[800/1093] gen_loss -0.1819, rec_loss 0.0108, lpips_loss 0.1349, g_loss -0.0996, disc_weight 0.4000, disc_adaptive_weight 3.2919, d_loss 0.4350, logits_real 0.0949, logits_fake 0.0996,
Train Epoch: [1/30] Iters:[810/1093] gen_loss -0.1924, rec_loss 0.0108, lpips_loss 0.1347, g_loss -0.0990, disc_weight 0.4000, disc_adaptive_weight 3.4179, d_loss 0.4340, logits_real 0.0945, logits_fake 0.0991,
Train Epoch: [1/30] Iters:[820/1093] gen_loss -0.1889, rec_loss 0.0109, lpips_loss 0.1354, g_loss -0.0987, disc_weight 0.4000, disc_adaptive_weight 3.3968, d_loss 0.4331, logits_real 0.0942, logits_fake 0.0986,
Train Epoch: [1/30] Iters:[830/1093] gen_loss -0.1991, rec_loss 0.0109, lpips_loss 0.1360, g_loss -0.0984, disc_weight 0.4000, disc_adaptive_weight 3.5190, d_loss 0.4323, logits_real 0.0939, logits_fake 0.0982,
