Train Epoch: [1/30] Iters:[500/1093] gen_loss -0.7607, rec_loss 0.0113, lpips_loss 0.1405, g_loss -0.2511, disc_weight 0.4000, disc_adaptive_weight 3.6347, d_loss 0.4786, logits_real 0.2474, logits_fake 0.2509,
Train Epoch: [1/30] Iters:[510/1093] gen_loss -0.8061, rec_loss 0.0113, lpips_loss 0.1403, g_loss -0.2507, disc_weight 0.4000, disc_adaptive_weight 3.8216, d_loss 0.4763, logits_real 0.2466, logits_fake 0.2504,
Train Epoch: [1/30] Iters:[520/1093] gen_loss -0.8306, rec_loss 0.0112, lpips_loss 0.1396, g_loss -0.2499, disc_weight 0.4000, disc_adaptive_weight 3.9288, d_loss 0.4736, logits_real 0.2459, logits_fake 0.2495,
Train Epoch: [1/30] Iters:[530/1093] gen_loss -0.9156, rec_loss 0.0113, lpips_loss 0.1393, g_loss -0.2490, disc_weight 0.4000, disc_adaptive_weight 4.2840, d_loss 0.4714, logits_real 0.2452, logits_fake 0.2488,
Train Epoch: [1/30] Iters:[540/1093] gen_loss -0.9912, rec_loss 0.0112, lpips_loss 0.1394, g_loss -0.2483, disc_weight 0.4000, disc_adaptive_weight 4.6002, d_loss 0.4692, logits_real 0.2443, logits_fake 0.2481,
Train Epoch: [1/30] Iters:[550/1093] gen_loss -1.0006, rec_loss 0.0110, lpips_loss 0.1383, g_loss -0.2476, disc_weight 0.4000, disc_adaptive_weight 4.6464, d_loss 0.4666, logits_real 0.2432, logits_fake 0.2477,
Train Epoch: [1/30] Iters:[560/1093] gen_loss -0.9861, rec_loss 0.0110, lpips_loss 0.1389, g_loss -0.2467, disc_weight 0.4000, disc_adaptive_weight 4.6058, d_loss 0.4646, logits_real 0.2420, logits_fake 0.2470,
Train Epoch: [1/30] Iters:[570/1093] gen_loss -1.0199, rec_loss 0.0111, lpips_loss 0.1395, g_loss -0.2457, disc_weight 0.4000, disc_adaptive_weight 4.7648, d_loss 0.4628, logits_real 0.2408, logits_fake 0.2460,
Train Epoch: [1/30] Iters:[580/1093] gen_loss -0.9566, rec_loss 0.0110, lpips_loss 0.1390, g_loss -0.2448, disc_weight 0.4000, disc_adaptive_weight 4.5215, d_loss 0.4608, logits_real 0.2395, logits_fake 0.2450,
Train Epoch: [1/30] Iters:[590/1093] gen_loss -0.9535, rec_loss 0.0109, lpips_loss 0.1385, g_loss -0.2435, disc_weight 0.4000, disc_adaptive_weight 4.5326, d_loss 0.4588, logits_real 0.2384, logits_fake 0.2439,
