Train Epoch: [1/30] Iters:[470/1093] gen_loss 0.5790, rec_loss 0.0116, lpips_loss 0.1447, g_loss 0.1103, disc_weight 0.4000, disc_adaptive_weight 3.8347, d_loss 0.5087, logits_real -0.1131, logits_fake -0.1102,
Train Epoch: [1/30] Iters:[480/1093] gen_loss 0.5781, rec_loss 0.0114, lpips_loss 0.1449, g_loss 0.1100, disc_weight 0.4000, disc_adaptive_weight 3.8363, d_loss 0.5051, logits_real -0.1132, logits_fake -0.1098,
Train Epoch: [1/30] Iters:[490/1093] gen_loss 0.5857, rec_loss 0.0114, lpips_loss 0.1444, g_loss 0.1096, disc_weight 0.4000, disc_adaptive_weight 3.9244, d_loss 0.5019, logits_real -0.1133, logits_fake -0.1095,
Train Epoch: [1/30] Iters:[500/1093] gen_loss 0.5824, rec_loss 0.0117, lpips_loss 0.1456, g_loss 0.1093, disc_weight 0.4000, disc_adaptive_weight 3.8921, d_loss 0.4989, logits_real -0.1133, logits_fake -0.1093,
Train Epoch: [1/30] Iters:[510/1093] gen_loss 0.5796, rec_loss 0.0117, lpips_loss 0.1456, g_loss 0.1093, disc_weight 0.4000, disc_adaptive_weight 3.8658, d_loss 0.4961, logits_real -0.1134, logits_fake -0.1093,
Train Epoch: [1/30] Iters:[520/1093] gen_loss 0.5566, rec_loss 0.0117, lpips_loss 0.1447, g_loss 0.1095, disc_weight 0.4000, disc_adaptive_weight 3.6559, d_loss 0.4928, logits_real -0.1136, logits_fake -0.1093,
Train Epoch: [1/30] Iters:[530/1093] gen_loss 0.5420, rec_loss 0.0117, lpips_loss 0.1441, g_loss 0.1097, disc_weight 0.4000, disc_adaptive_weight 3.5194, d_loss 0.4895, logits_real -0.1136, logits_fake -0.1098,
Train Epoch: [1/30] Iters:[540/1093] gen_loss 0.5387, rec_loss 0.0116, lpips_loss 0.1442, g_loss 0.1100, disc_weight 0.4000, disc_adaptive_weight 3.4800, d_loss 0.4866, logits_real -0.1136, logits_fake -0.1101,
Train Epoch: [1/30] Iters:[550/1093] gen_loss 0.5383, rec_loss 0.0113, lpips_loss 0.1429, g_loss 0.1099, disc_weight 0.4000, disc_adaptive_weight 3.4954, d_loss 0.4826, logits_real -0.1136, logits_fake -0.1102,
Train Epoch: [1/30] Iters:[560/1093] gen_loss 0.5261, rec_loss 0.0113, lpips_loss 0.1431, g_loss 0.1098, disc_weight 0.4000, disc_adaptive_weight 3.3857, d_loss 0.4800, logits_real -0.1135, logits_fake -0.1101,
Train Epoch: [1/30] Iters:[570/1093] gen_loss 0.5254, rec_loss 0.0115, lpips_loss 0.1438, g_loss 0.1095, disc_weight 0.4000, disc_adaptive_weight 3.3813, d_loss 0.4772, logits_real -0.1134, logits_fake -0.1099,
Train Epoch: [1/30] Iters:[580/1093] gen_loss 0.5243, rec_loss 0.0113, lpips_loss 0.1433, g_loss 0.1093, disc_weight 0.4000, disc_adaptive_weight 3.3816, d_loss 0.4749, logits_real -0.1134, logits_fake -0.1094,
Train Epoch: [1/30] Iters:[590/1093] gen_loss 0.5330, rec_loss 0.0113, lpips_loss 0.1430, g_loss 0.1090, disc_weight 0.4000, disc_adaptive_weight 3.4713, d_loss 0.4725, logits_real -0.1132, logits_fake -0.1089,
Train Epoch: [1/30] Iters:[600/1093] gen_loss 0.5428, rec_loss 0.0114, lpips_loss 0.1434, g_loss 0.1089, disc_weight 0.4000, disc_adaptive_weight 3.5650, d_loss 0.4711, logits_real -0.1132, logits_fake -0.1084,
Train Epoch: [1/30] Iters:[610/1093] gen_loss 0.5919, rec_loss 0.0115, lpips_loss 0.1431, g_loss 0.1085, disc_weight 0.4000, disc_adaptive_weight 4.0326, d_loss 0.4687, logits_real -0.1130, logits_fake -0.1082,
Train Epoch: [1/30] Iters:[620/1093] gen_loss 0.6039, rec_loss 0.0115, lpips_loss 0.1429, g_loss 0.1083, disc_weight 0.4000, disc_adaptive_weight 4.1544, d_loss 0.4666, logits_real -0.1128, logits_fake -0.1078,
Train Epoch: [1/30] Iters:[630/1093] gen_loss 0.6269, rec_loss 0.0116, lpips_loss 0.1434, g_loss 0.1076, disc_weight 0.4000, disc_adaptive_weight 4.3844, d_loss 0.4642, logits_real -0.1125, logits_fake -0.1074,
Train Epoch: [1/30] Iters:[640/1093] gen_loss 0.6131, rec_loss 0.0116, lpips_loss 0.1435, g_loss 0.1070, disc_weight 0.4000, disc_adaptive_weight 4.2829, d_loss 0.4623, logits_real -0.1122, logits_fake -0.1071,
Train Epoch: [1/30] Iters:[650/1093] gen_loss 0.6101, rec_loss 0.0115, lpips_loss 0.1434, g_loss 0.1069, disc_weight 0.4000, disc_adaptive_weight 4.2575, d_loss 0.4602, logits_real -0.1118, logits_fake -0.1070,
Train Epoch: [1/30] Iters:[660/1093] gen_loss 0.5705, rec_loss 0.0115, lpips_loss 0.1439, g_loss 0.1068, disc_weight 0.4000, disc_adaptive_weight 3.8900, d_loss 0.4582, logits_real -0.1118, logits_fake -0.1068,
Train Epoch: [1/30] Iters:[670/1093] gen_loss 0.5712, rec_loss 0.0114, lpips_loss 0.1440, g_loss 0.1064, disc_weight 0.4000, disc_adaptive_weight 3.9063, d_loss 0.4566, logits_real -0.1116, logits_fake -0.1063,
Train Epoch: [1/30] Iters:[680/1093] gen_loss 0.5510, rec_loss 0.0114, lpips_loss 0.1436, g_loss 0.1059, disc_weight 0.4000, disc_adaptive_weight 3.7380, d_loss 0.4549, logits_real -0.1113, logits_fake -0.1060,
Train Epoch: [1/30] Iters:[690/1093] gen_loss 0.5557, rec_loss 0.0113, lpips_loss 0.1434, g_loss 0.1055, disc_weight 0.4000, disc_adaptive_weight 3.7992, d_loss 0.4531, logits_real -0.1110, logits_fake -0.1056,
Train Epoch: [1/30] Iters:[700/1093] gen_loss 0.5420, rec_loss 0.0114, lpips_loss 0.1436, g_loss 0.1047, disc_weight 0.4000, disc_adaptive_weight 3.6974, d_loss 0.4515, logits_real -0.1106, logits_fake -0.1048,
Train Epoch: [1/30] Iters:[710/1093] gen_loss 0.5636, rec_loss 0.0114, lpips_loss 0.1433, g_loss 0.1042, disc_weight 0.4000, disc_adaptive_weight 3.9275, d_loss 0.4499, logits_real -0.1100, logits_fake -0.1043,
Train Epoch: [1/30] Iters:[720/1093] gen_loss 0.5641, rec_loss 0.0115, lpips_loss 0.1434, g_loss 0.1036, disc_weight 0.4000, disc_adaptive_weight 3.9559, d_loss 0.4483, logits_real -0.1095, logits_fake -0.1039,
Train Epoch: [1/30] Iters:[730/1093] gen_loss 0.5993, rec_loss 0.0116, lpips_loss 0.1437, g_loss 0.1034, disc_weight 0.4000, disc_adaptive_weight 4.3000, d_loss 0.4472, logits_real -0.1091, logits_fake -0.1033,
Train Epoch: [1/30] Iters:[740/1093] gen_loss 0.5955, rec_loss 0.0116, lpips_loss 0.1442, g_loss 0.1030, disc_weight 0.4000, disc_adaptive_weight 4.2712, d_loss 0.4458, logits_real -0.1088, logits_fake -0.1031,
Train Epoch: [1/30] Iters:[750/1093] gen_loss 0.5888, rec_loss 0.0116, lpips_loss 0.1439, g_loss 0.1029, disc_weight 0.4000, disc_adaptive_weight 4.2129, d_loss 0.4445, logits_real -0.1085, logits_fake -0.1031,
Train Epoch: [1/30] Iters:[760/1093] gen_loss 0.5699, rec_loss 0.0116, lpips_loss 0.1438, g_loss 0.1027, disc_weight 0.4000, disc_adaptive_weight 4.0382, d_loss 0.4433, logits_real -0.1082, logits_fake -0.1030,
Train Epoch: [1/30] Iters:[770/1093] gen_loss 0.5572, rec_loss 0.0116, lpips_loss 0.1436, g_loss 0.1027, disc_weight 0.4000, disc_adaptive_weight 3.9142, d_loss 0.4419, logits_real -0.1079, logits_fake -0.1029,
Train Epoch: [1/30] Iters:[780/1093] gen_loss 0.5356, rec_loss 0.0116, lpips_loss 0.1436, g_loss 0.1025, disc_weight 0.4000, disc_adaptive_weight 3.7113, d_loss 0.4407, logits_real -0.1076, logits_fake -0.1028,
Train Epoch: [1/30] Iters:[790/1093] gen_loss 0.5173, rec_loss 0.0116, lpips_loss 0.1436, g_loss 0.1022, disc_weight 0.4000, disc_adaptive_weight 3.5407, d_loss 0.4397, logits_real -0.1072, logits_fake -0.1024,
Train Epoch: [1/30] Iters:[800/1093] gen_loss 0.5177, rec_loss 0.0117, lpips_loss 0.1435, g_loss 0.1021, disc_weight 0.4000, disc_adaptive_weight 3.5484, d_loss 0.4388, logits_real -0.1070, logits_fake -0.1021,
Train Epoch: [1/30] Iters:[810/1093] gen_loss 0.5188, rec_loss 0.0116, lpips_loss 0.1430, g_loss 0.1021, disc_weight 0.4000, disc_adaptive_weight 3.5652, d_loss 0.4377, logits_real -0.1069, logits_fake -0.1018,
Train Epoch: [1/30] Iters:[820/1093] gen_loss 0.5379, rec_loss 0.0117, lpips_loss 0.1432, g_loss 0.1020, disc_weight 0.4000, disc_adaptive_weight 3.7558, d_loss 0.4369, logits_real -0.1068, logits_fake -0.1017,
