Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.1328, rec_loss 0.0254, lpips_loss 0.1854, g_loss -0.0236, disc_weight 0.4000, disc_adaptive_weight 3.3016, d_loss 0.4684, logits_real 0.0222, logits_fake 0.0239,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.1351, rec_loss 0.0254, lpips_loss 0.1861, g_loss -0.0238, disc_weight 0.4000, disc_adaptive_weight 3.2114, d_loss 0.4669, logits_real 0.0224, logits_fake 0.0238,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.1374, rec_loss 0.0256, lpips_loss 0.1869, g_loss -0.0239, disc_weight 0.4000, disc_adaptive_weight 3.1465, d_loss 0.4659, logits_real 0.0224, logits_fake 0.0241,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.1371, rec_loss 0.0257, lpips_loss 0.1867, g_loss -0.0240, disc_weight 0.4000, disc_adaptive_weight 3.1336, d_loss 0.4643, logits_real 0.0225, logits_fake 0.0240,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.1389, rec_loss 0.0257, lpips_loss 0.1863, g_loss -0.0243, disc_weight 0.4000, disc_adaptive_weight 3.0122, d_loss 0.4625, logits_real 0.0227, logits_fake 0.0241,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.1361, rec_loss 0.0257, lpips_loss 0.1856, g_loss -0.0244, disc_weight 0.4000, disc_adaptive_weight 3.0753, d_loss 0.4604, logits_real 0.0226, logits_fake 0.0243,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.1334, rec_loss 0.0260, lpips_loss 0.1864, g_loss -0.0246, disc_weight 0.4000, disc_adaptive_weight 3.2063, d_loss 0.4593, logits_real 0.0231, logits_fake 0.0246,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.1318, rec_loss 0.0263, lpips_loss 0.1865, g_loss -0.0249, disc_weight 0.4000, disc_adaptive_weight 3.2483, d_loss 0.4573, logits_real 0.0234, logits_fake 0.0248,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.1277, rec_loss 0.0261, lpips_loss 0.1855, g_loss -0.0251, disc_weight 0.4000, disc_adaptive_weight 3.3336, d_loss 0.4561, logits_real 0.0235, logits_fake 0.0251,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.1280, rec_loss 0.0258, lpips_loss 0.1863, g_loss -0.0253, disc_weight 0.4000, disc_adaptive_weight 3.3222, d_loss 0.4549, logits_real 0.0239, logits_fake 0.0253,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.1261, rec_loss 0.0257, lpips_loss 0.1862, g_loss -0.0257, disc_weight 0.4000, disc_adaptive_weight 3.3305, d_loss 0.4535, logits_real 0.0246, logits_fake 0.0257,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.1227, rec_loss 0.0255, lpips_loss 0.1857, g_loss -0.0260, disc_weight 0.4000, disc_adaptive_weight 3.3912, d_loss 0.4518, logits_real 0.0249, logits_fake 0.0260,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.1163, rec_loss 0.0252, lpips_loss 0.1857, g_loss -0.0264, disc_weight 0.4000, disc_adaptive_weight 3.5834, d_loss 0.4512, logits_real 0.0252, logits_fake 0.0263,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.1149, rec_loss 0.0255, lpips_loss 0.1870, g_loss -0.0266, disc_weight 0.4000, disc_adaptive_weight 3.6737, d_loss 0.4500, logits_real 0.0256, logits_fake 0.0267,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.1110, rec_loss 0.0258, lpips_loss 0.1868, g_loss -0.0267, disc_weight 0.4000, disc_adaptive_weight 3.8118, d_loss 0.4487, logits_real 0.0259, logits_fake 0.0270,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.1085, rec_loss 0.0259, lpips_loss 0.1869, g_loss -0.0270, disc_weight 0.4000, disc_adaptive_weight 3.8830, d_loss 0.4480, logits_real 0.0260, logits_fake 0.0271,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.1139, rec_loss 0.0258, lpips_loss 0.1863, g_loss -0.0272, disc_weight 0.4000, disc_adaptive_weight 3.6391, d_loss 0.4468, logits_real 0.0260, logits_fake 0.0274,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.1148, rec_loss 0.0257, lpips_loss 0.1861, g_loss -0.0272, disc_weight 0.4000, disc_adaptive_weight 3.5877, d_loss 0.4458, logits_real 0.0261, logits_fake 0.0274,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.1106, rec_loss 0.0253, lpips_loss 0.1853, g_loss -0.0271, disc_weight 0.4000, disc_adaptive_weight 3.7034, d_loss 0.4446, logits_real 0.0260, logits_fake 0.0273,
