Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.1838, rec_loss 0.0284, lpips_loss 0.2028, g_loss -0.0137, disc_weight 0.4000, disc_adaptive_weight 3.4163, d_loss 0.5254, logits_real 0.0104, logits_fake 0.0136,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.1774, rec_loss 0.0278, lpips_loss 0.2028, g_loss -0.0146, disc_weight 0.4000, disc_adaptive_weight 3.6021, d_loss 0.5216, logits_real 0.0111, logits_fake 0.0146,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.1756, rec_loss 0.0279, lpips_loss 0.2031, g_loss -0.0152, disc_weight 0.4000, disc_adaptive_weight 3.6455, d_loss 0.5189, logits_real 0.0116, logits_fake 0.0153,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.1787, rec_loss 0.0279, lpips_loss 0.2048, g_loss -0.0156, disc_weight 0.4000, disc_adaptive_weight 3.4667, d_loss 0.5161, logits_real 0.0122, logits_fake 0.0159,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.1775, rec_loss 0.0282, lpips_loss 0.2047, g_loss -0.0161, disc_weight 0.4000, disc_adaptive_weight 3.4418, d_loss 0.5133, logits_real 0.0127, logits_fake 0.0165,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.1800, rec_loss 0.0285, lpips_loss 0.2064, g_loss -0.0170, disc_weight 0.4000, disc_adaptive_weight 3.2274, d_loss 0.5111, logits_real 0.0137, logits_fake 0.0173,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.1803, rec_loss 0.0286, lpips_loss 0.2068, g_loss -0.0173, disc_weight 0.4000, disc_adaptive_weight 3.1844, d_loss 0.5086, logits_real 0.0145, logits_fake 0.0177,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.1727, rec_loss 0.0280, lpips_loss 0.2057, g_loss -0.0180, disc_weight 0.4000, disc_adaptive_weight 3.3696, d_loss 0.5054, logits_real 0.0154, logits_fake 0.0179,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.1716, rec_loss 0.0282, lpips_loss 0.2053, g_loss -0.0187, disc_weight 0.4000, disc_adaptive_weight 3.3301, d_loss 0.5028, logits_real 0.0161, logits_fake 0.0185,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.1707, rec_loss 0.0283, lpips_loss 0.2057, g_loss -0.0193, disc_weight 0.4000, disc_adaptive_weight 3.2959, d_loss 0.5006, logits_real 0.0168, logits_fake 0.0193,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.1660, rec_loss 0.0282, lpips_loss 0.2039, g_loss -0.0198, disc_weight 0.4000, disc_adaptive_weight 3.3490, d_loss 0.4976, logits_real 0.0175, logits_fake 0.0199,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.1658, rec_loss 0.0284, lpips_loss 0.2038, g_loss -0.0207, disc_weight 0.4000, disc_adaptive_weight 3.2070, d_loss 0.4958, logits_real 0.0183, logits_fake 0.0205,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.1680, rec_loss 0.0288, lpips_loss 0.2043, g_loss -0.0212, disc_weight 0.4000, disc_adaptive_weight 3.0657, d_loss 0.4945, logits_real 0.0188, logits_fake 0.0213,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.1622, rec_loss 0.0288, lpips_loss 0.2052, g_loss -0.0220, disc_weight 0.4000, disc_adaptive_weight 3.2648, d_loss 0.4922, logits_real 0.0195, logits_fake 0.0220,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.1610, rec_loss 0.0287, lpips_loss 0.2063, g_loss -0.0224, disc_weight 0.4000, disc_adaptive_weight 3.3042, d_loss 0.4894, logits_real 0.0199, logits_fake 0.0223,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.1642, rec_loss 0.0288, lpips_loss 0.2071, g_loss -0.0224, disc_weight 0.4000, disc_adaptive_weight 3.1926, d_loss 0.4871, logits_real 0.0201, logits_fake 0.0224,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.1622, rec_loss 0.0285, lpips_loss 0.2065, g_loss -0.0225, disc_weight 0.4000, disc_adaptive_weight 3.2282, d_loss 0.4851, logits_real 0.0205, logits_fake 0.0229,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.1613, rec_loss 0.0286, lpips_loss 0.2071, g_loss -0.0228, disc_weight 0.4000, disc_adaptive_weight 3.2588, d_loss 0.4824, logits_real 0.0206, logits_fake 0.0230,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.1613, rec_loss 0.0283, lpips_loss 0.2068, g_loss -0.0229, disc_weight 0.4000, disc_adaptive_weight 3.2204, d_loss 0.4806, logits_real 0.0210, logits_fake 0.0232,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.1614, rec_loss 0.0284, lpips_loss 0.2057, g_loss -0.0231, disc_weight 0.4000, disc_adaptive_weight 3.1479, d_loss 0.4786, logits_real 0.0214, logits_fake 0.0235,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.1555, rec_loss 0.0284, lpips_loss 0.2051, g_loss -0.0233, disc_weight 0.4000, disc_adaptive_weight 3.3470, d_loss 0.4770, logits_real 0.0217, logits_fake 0.0237,
