dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
VQ: wasserstein_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_0.5
training_pre: wasserstein_vq
saver_name_pre: wasserstein_vq_CelebAHQ_model_65536_16_1_loss_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[1040/1875] loss 0.4026, rec_loss 0.0064, p_loss 0.1639, utilization 0.2627, perplexity 10603.8397,
Train Epoch: [1/30] Iters:[1050/1875] loss 0.4029, rec_loss 0.0065, p_loss 0.1647, utilization 0.2643, perplexity 10674.3126,
Train Epoch: [1/30] Iters:[1060/1875] loss 0.4104, rec_loss 0.0067, p_loss 0.1650, utilization 0.2655, perplexity 10715.9338,
Train Epoch: [1/30] Iters:[1070/1875] loss 0.4281, rec_loss 0.0068, p_loss 0.1660, utilization 0.2663, perplexity 10667.1679,
Train Epoch: [1/30] Iters:[1080/1875] loss 0.4228, rec_loss 0.0068, p_loss 0.1655, utilization 0.2671, perplexity 10713.6597,
Train Epoch: [1/30] Iters:[1090/1875] loss 0.4303, rec_loss 0.0066, p_loss 0.1628, utilization 0.2680, perplexity 10724.1279,
Train Epoch: [1/30] Iters:[1100/1875] loss 0.4288, rec_loss 0.0065, p_loss 0.1621, utilization 0.2700, perplexity 10850.0012,
Train Epoch: [1/30] Iters:[1110/1875] loss 0.4208, rec_loss 0.0066, p_loss 0.1608, utilization 0.2718, perplexity 11029.6653,
Train Epoch: [1/30] Iters:[1120/1875] loss 0.4078, rec_loss 0.0064, p_loss 0.1581, utilization 0.2738, perplexity 11204.1022,
Train Epoch: [1/30] Iters:[1130/1875] loss 0.4056, rec_loss 0.0063, p_loss 0.1582, utilization 0.2752, perplexity 11242.1378,
Train Epoch: [1/30] Iters:[1140/1875] loss 0.3934, rec_loss 0.0061, p_loss 0.1570, utilization 0.2769, perplexity 11436.1250,
