dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
VQ: fsq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_8_4
loss_pre: loss_1.0
training_pre: fsq
saver_name_pre: fsq_CelebAHQ_model_8_4_loss_1.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[920/1875] loss 0.1946, rec_loss 0.0086, p_loss 0.1860, utilization 0.2560, perplexity 5668.2926,
Train Epoch: [1/30] Iters:[930/1875] loss 0.1937, rec_loss 0.0085, p_loss 0.1852, utilization 0.2591, perplexity 5821.5727,
Train Epoch: [1/30] Iters:[940/1875] loss 0.1931, rec_loss 0.0081, p_loss 0.1850, utilization 0.2603, perplexity 5912.6748,
Train Epoch: [1/30] Iters:[950/1875] loss 0.1934, rec_loss 0.0082, p_loss 0.1852, utilization 0.2617, perplexity 5933.3749,
Train Epoch: [1/30] Iters:[960/1875] loss 0.1935, rec_loss 0.0082, p_loss 0.1853, utilization 0.2618, perplexity 5967.0327,
Train Epoch: [1/30] Iters:[970/1875] loss 0.1939, rec_loss 0.0083, p_loss 0.1856, utilization 0.2638, perplexity 6015.6684,
Train Epoch: [1/30] Iters:[980/1875] loss 0.1934, rec_loss 0.0084, p_loss 0.1851, utilization 0.2655, perplexity 6025.5416,
Train Epoch: [1/30] Iters:[990/1875] loss 0.1912, rec_loss 0.0082, p_loss 0.1830, utilization 0.2654, perplexity 6013.9680,
Train Epoch: [1/30] Iters:[1000/1875] loss 0.1926, rec_loss 0.0082, p_loss 0.1844, utilization 0.2657, perplexity 6033.2931,
Train Epoch: [1/30] Iters:[1010/1875] loss 0.1914, rec_loss 0.0083, p_loss 0.1831, utilization 0.2680, perplexity 6147.5076,
Train Epoch: [1/30] Iters:[1020/1875] loss 0.1880, rec_loss 0.0082, p_loss 0.1798, utilization 0.2682, perplexity 6189.4115,
Train Epoch: [1/30] Iters:[1030/1875] loss 0.1879, rec_loss 0.0082, p_loss 0.1797, utilization 0.2690, perplexity 6291.8635,
