dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: ema_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_vq
saver_name_pre: ema_vq_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[1080/1875] loss 0.1784, rec_loss 0.0062, p_loss 0.1549, utilization 0.4220, perplexity 17854.2591,
Train Epoch: [1/30] Iters:[1090/1875] loss 0.1777, rec_loss 0.0063, p_loss 0.1541, utilization 0.4201, perplexity 17665.6204,
Train Epoch: [1/30] Iters:[1100/1875] loss 0.1783, rec_loss 0.0063, p_loss 0.1547, utilization 0.4201, perplexity 17635.5338,
Train Epoch: [1/30] Iters:[1110/1875] loss 0.1805, rec_loss 0.0066, p_loss 0.1565, utilization 0.4200, perplexity 17646.5034,
Train Epoch: [1/30] Iters:[1120/1875] loss 0.1788, rec_loss 0.0064, p_loss 0.1549, utilization 0.4195, perplexity 17529.2183,
Train Epoch: [1/30] Iters:[1130/1875] loss 0.1787, rec_loss 0.0063, p_loss 0.1549, utilization 0.4194, perplexity 17430.6295,
Train Epoch: [1/30] Iters:[1140/1875] loss 0.1784, rec_loss 0.0062, p_loss 0.1546, utilization 0.4205, perplexity 17621.5522,
Train Epoch: [1/30] Iters:[1150/1875] loss 0.1780, rec_loss 0.0061, p_loss 0.1542, utilization 0.4195, perplexity 17496.1585,
Train Epoch: [1/30] Iters:[1160/1875] loss 0.1763, rec_loss 0.0055, p_loss 0.1532, utilization 0.4210, perplexity 17574.6133,
Train Epoch: [1/30] Iters:[1170/1875] loss 0.1768, rec_loss 0.0052, p_loss 0.1538, utilization 0.4219, perplexity 17626.9114,
Train Epoch: [1/30] Iters:[1180/1875] loss 0.1757, rec_loss 0.0050, p_loss 0.1531, utilization 0.4215, perplexity 17683.9976,
Train Epoch: [1/30] Iters:[1190/1875] loss 0.1741, rec_loss 0.0049, p_loss 0.1518, utilization 0.4214, perplexity 17622.6120,
Train Epoch: [1/30] Iters:[1200/1875] loss 0.1729, rec_loss 0.0048, p_loss 0.1507, utilization 0.4219, perplexity 17742.8996,
Train Epoch: [1/30] Iters:[1210/1875] loss 0.1718, rec_loss 0.0050, p_loss 0.1495, utilization 0.4192, perplexity 17524.7873,
Train Epoch: [1/30] Iters:[1220/1875] loss 0.1699, rec_loss 0.0050, p_loss 0.1474, utilization 0.4209, perplexity 17758.0412,
Train Epoch: [1/30] Iters:[1230/1875] loss 0.1692, rec_loss 0.0051, p_loss 0.1465, utilization 0.4227, perplexity 17975.9935,
Train Epoch: [1/30] Iters:[1240/1875] loss 0.1694, rec_loss 0.0051, p_loss 0.1467, utilization 0.4208, perplexity 17802.5020,
Train Epoch: [1/30] Iters:[1250/1875] loss 0.1701, rec_loss 0.0052, p_loss 0.1471, utilization 0.4215, perplexity 17887.2159,
Train Epoch: [1/30] Iters:[1260/1875] loss 0.1703, rec_loss 0.0051, p_loss 0.1474, utilization 0.4211, perplexity 17831.6278,
Train Epoch: [1/30] Iters:[1270/1875] loss 0.1695, rec_loss 0.0049, p_loss 0.1467, utilization 0.4167, perplexity 17462.2454,
Train Epoch: [1/30] Iters:[1280/1875] loss 0.1700, rec_loss 0.0049, p_loss 0.1470, utilization 0.4157, perplexity 17291.6135,
Train Epoch: [1/30] Iters:[1290/1875] loss 0.1693, rec_loss 0.0047, p_loss 0.1464, utilization 0.4149, perplexity 17238.8523,
Train Epoch: [1/30] Iters:[1300/1875] loss 0.1675, rec_loss 0.0049, p_loss 0.1443, utilization 0.4147, perplexity 17235.3759,
Train Epoch: [1/30] Iters:[1310/1875] loss 0.1673, rec_loss 0.0050, p_loss 0.1438, utilization 0.4166, perplexity 17370.4633,
Train Epoch: [1/30] Iters:[1320/1875] loss 0.1679, rec_loss 0.0050, p_loss 0.1443, utilization 0.4179, perplexity 17533.2845,
Train Epoch: [1/30] Iters:[1330/1875] loss 0.1670, rec_loss 0.0050, p_loss 0.1436, utilization 0.4169, perplexity 17407.3292,
Train Epoch: [1/30] Iters:[1340/1875] loss 0.1672, rec_loss 0.0050, p_loss 0.1435, utilization 0.4194, perplexity 17576.5748,
Train Epoch: [1/30] Iters:[1350/1875] loss 0.1706, rec_loss 0.0050, p_loss 0.1467, utilization 0.4182, perplexity 17306.0791,
Train Epoch: [1/30] Iters:[1360/1875] loss 0.1727, rec_loss 0.0050, p_loss 0.1488, utilization 0.4170, perplexity 17275.5651,
Train Epoch: [1/30] Iters:[1370/1875] loss 0.1731, rec_loss 0.0053, p_loss 0.1492, utilization 0.4159, perplexity 17152.6930,
Train Epoch: [1/30] Iters:[1380/1875] loss 0.1740, rec_loss 0.0053, p_loss 0.1499, utilization 0.4163, perplexity 17225.1130,
Train Epoch: [1/30] Iters:[1390/1875] loss 0.1730, rec_loss 0.0054, p_loss 0.1490, utilization 0.4135, perplexity 17061.4835,
Train Epoch: [1/30] Iters:[1400/1875] loss 0.1726, rec_loss 0.0054, p_loss 0.1487, utilization 0.4121, perplexity 17078.1941,
Train Epoch: [1/30] Iters:[1410/1875] loss 0.1706, rec_loss 0.0053, p_loss 0.1468, utilization 0.4116, perplexity 16976.7587,
