dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: online_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0
training_pre: online_vq
saver_name_pre: online_vq_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[1020/1875] loss 0.2374, rec_loss 0.0069, p_loss 0.1793, utilization 0.3347, perplexity 12504.1801,
Train Epoch: [1/30] Iters:[1030/1875] loss 0.2426, rec_loss 0.0073, p_loss 0.1830, utilization 0.3353, perplexity 12504.9142,
Train Epoch: [1/30] Iters:[1040/1875] loss 0.2496, rec_loss 0.0079, p_loss 0.1868, utilization 0.3360, perplexity 12548.8637,
Train Epoch: [1/30] Iters:[1050/1875] loss 0.2470, rec_loss 0.0079, p_loss 0.1850, utilization 0.3360, perplexity 12531.9191,
Train Epoch: [1/30] Iters:[1060/1875] loss 0.2452, rec_loss 0.0077, p_loss 0.1834, utilization 0.3366, perplexity 12562.2591,
Train Epoch: [1/30] Iters:[1070/1875] loss 0.2489, rec_loss 0.0078, p_loss 0.1861, utilization 0.3370, perplexity 12556.2660,
Train Epoch: [1/30] Iters:[1080/1875] loss 0.2430, rec_loss 0.0076, p_loss 0.1815, utilization 0.3376, perplexity 12644.0723,
Train Epoch: [1/30] Iters:[1090/1875] loss 0.2369, rec_loss 0.0073, p_loss 0.1772, utilization 0.3374, perplexity 12639.8712,
Train Epoch: [1/30] Iters:[1100/1875] loss 0.2365, rec_loss 0.0071, p_loss 0.1769, utilization 0.3379, perplexity 12718.1496,
Train Epoch: [1/30] Iters:[1110/1875] loss 0.2351, rec_loss 0.0070, p_loss 0.1764, utilization 0.3392, perplexity 12850.6485,
Train Epoch: [1/30] Iters:[1120/1875] loss 0.2315, rec_loss 0.0068, p_loss 0.1739, utilization 0.3396, perplexity 12843.2292,
Train Epoch: [1/30] Iters:[1130/1875] loss 0.2323, rec_loss 0.0066, p_loss 0.1750, utilization 0.3388, perplexity 12726.4434,
Train Epoch: [1/30] Iters:[1140/1875] loss 0.2319, rec_loss 0.0066, p_loss 0.1747, utilization 0.3404, perplexity 12891.6587,
Train Epoch: [1/30] Iters:[1150/1875] loss 0.2305, rec_loss 0.0064, p_loss 0.1735, utilization 0.3403, perplexity 12859.0621,
Train Epoch: [1/30] Iters:[1160/1875] loss 0.2293, rec_loss 0.0063, p_loss 0.1733, utilization 0.3417, perplexity 12919.2847,
Train Epoch: [1/30] Iters:[1170/1875] loss 0.2275, rec_loss 0.0063, p_loss 0.1725, utilization 0.3428, perplexity 12944.3139,
Train Epoch: [1/30] Iters:[1180/1875] loss 0.2236, rec_loss 0.0062, p_loss 0.1688, utilization 0.3441, perplexity 13088.0168,
Train Epoch: [1/30] Iters:[1190/1875] loss 0.2222, rec_loss 0.0062, p_loss 0.1678, utilization 0.3442, perplexity 13030.0769,
Train Epoch: [1/30] Iters:[1200/1875] loss 0.2212, rec_loss 0.0064, p_loss 0.1669, utilization 0.3454, perplexity 13150.0296,
Train Epoch: [1/30] Iters:[1210/1875] loss 0.2212, rec_loss 0.0065, p_loss 0.1666, utilization 0.3452, perplexity 13097.0460,
Train Epoch: [1/30] Iters:[1220/1875] loss 0.2220, rec_loss 0.0066, p_loss 0.1659, utilization 0.3461, perplexity 13264.7511,
Train Epoch: [1/30] Iters:[1230/1875] loss 0.2241, rec_loss 0.0066, p_loss 0.1679, utilization 0.3475, perplexity 13425.8445,
Train Epoch: [1/30] Iters:[1240/1875] loss 0.2232, rec_loss 0.0065, p_loss 0.1677, utilization 0.3471, perplexity 13345.7424,
Train Epoch: [1/30] Iters:[1250/1875] loss 0.2245, rec_loss 0.0063, p_loss 0.1687, utilization 0.3469, perplexity 13294.9212,
Train Epoch: [1/30] Iters:[1260/1875] loss 0.2241, rec_loss 0.0062, p_loss 0.1679, utilization 0.3458, perplexity 13194.0681,
Train Epoch: [1/30] Iters:[1270/1875] loss 0.2206, rec_loss 0.0060, p_loss 0.1658, utilization 0.3445, perplexity 13054.6620,
Train Epoch: [1/30] Iters:[1280/1875] loss 0.2211, rec_loss 0.0060, p_loss 0.1650, utilization 0.3447, perplexity 12986.2968,
Train Epoch: [1/30] Iters:[1290/1875] loss 0.2204, rec_loss 0.0058, p_loss 0.1644, utilization 0.3450, perplexity 13040.7306,
Train Epoch: [1/30] Iters:[1300/1875] loss 0.2178, rec_loss 0.0058, p_loss 0.1620, utilization 0.3457, perplexity 13107.5923,
Train Epoch: [1/30] Iters:[1310/1875] loss 0.2196, rec_loss 0.0061, p_loss 0.1628, utilization 0.3477, perplexity 13243.1000,
