Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.2227, rec_loss 0.0232, lpips_loss 0.1757, g_loss 0.0080, disc_weight 0.4000, disc_adaptive_weight 2.9396, d_loss 0.5128, logits_real -0.0094, logits_fake -0.0079,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.2298, rec_loss 0.0234, lpips_loss 0.1773, g_loss 0.0094, disc_weight 0.4000, disc_adaptive_weight 3.0719, d_loss 0.5099, logits_real -0.0108, logits_fake -0.0095,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.2332, rec_loss 0.0234, lpips_loss 0.1778, g_loss 0.0105, disc_weight 0.4000, disc_adaptive_weight 3.0162, d_loss 0.5076, logits_real -0.0119, logits_fake -0.0108,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.2357, rec_loss 0.0230, lpips_loss 0.1770, g_loss 0.0115, disc_weight 0.4000, disc_adaptive_weight 3.0691, d_loss 0.5048, logits_real -0.0129, logits_fake -0.0118,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.2383, rec_loss 0.0230, lpips_loss 0.1763, g_loss 0.0127, disc_weight 0.4000, disc_adaptive_weight 3.0250, d_loss 0.5021, logits_real -0.0139, logits_fake -0.0128,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.2427, rec_loss 0.0231, lpips_loss 0.1766, g_loss 0.0139, disc_weight 0.4000, disc_adaptive_weight 3.0835, d_loss 0.4998, logits_real -0.0151, logits_fake -0.0141,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.2440, rec_loss 0.0232, lpips_loss 0.1754, g_loss 0.0151, disc_weight 0.4000, disc_adaptive_weight 3.0055, d_loss 0.4968, logits_real -0.0161, logits_fake -0.0151,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.2452, rec_loss 0.0233, lpips_loss 0.1754, g_loss 0.0160, disc_weight 0.4000, disc_adaptive_weight 2.9098, d_loss 0.4940, logits_real -0.0172, logits_fake -0.0159,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.2469, rec_loss 0.0237, lpips_loss 0.1756, g_loss 0.0171, disc_weight 0.4000, disc_adaptive_weight 2.8087, d_loss 0.4923, logits_real -0.0180, logits_fake -0.0169,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.2509, rec_loss 0.0239, lpips_loss 0.1766, g_loss 0.0183, disc_weight 0.4000, disc_adaptive_weight 2.7563, d_loss 0.4896, logits_real -0.0191, logits_fake -0.0180,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.2554, rec_loss 0.0238, lpips_loss 0.1777, g_loss 0.0194, disc_weight 0.4000, disc_adaptive_weight 2.7576, d_loss 0.4872, logits_real -0.0203, logits_fake -0.0191,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.2567, rec_loss 0.0238, lpips_loss 0.1779, g_loss 0.0204, disc_weight 0.4000, disc_adaptive_weight 2.6886, d_loss 0.4850, logits_real -0.0213, logits_fake -0.0202,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.2607, rec_loss 0.0235, lpips_loss 0.1773, g_loss 0.0217, disc_weight 0.4000, disc_adaptive_weight 2.7762, d_loss 0.4828, logits_real -0.0225, logits_fake -0.0213,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.2664, rec_loss 0.0236, lpips_loss 0.1780, g_loss 0.0228, disc_weight 0.4000, disc_adaptive_weight 2.8556, d_loss 0.4805, logits_real -0.0236, logits_fake -0.0224,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.2666, rec_loss 0.0233, lpips_loss 0.1774, g_loss 0.0238, disc_weight 0.4000, disc_adaptive_weight 2.7808, d_loss 0.4792, logits_real -0.0245, logits_fake -0.0234,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.2747, rec_loss 0.0234, lpips_loss 0.1766, g_loss 0.0246, disc_weight 0.4000, disc_adaptive_weight 3.0422, d_loss 0.4774, logits_real -0.0253, logits_fake -0.0244,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.2809, rec_loss 0.0234, lpips_loss 0.1762, g_loss 0.0254, disc_weight 0.4000, disc_adaptive_weight 3.2040, d_loss 0.4760, logits_real -0.0261, logits_fake -0.0252,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.2792, rec_loss 0.0234, lpips_loss 0.1756, g_loss 0.0260, disc_weight 0.4000, disc_adaptive_weight 3.0840, d_loss 0.4748, logits_real -0.0269, logits_fake -0.0260,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.2831, rec_loss 0.0231, lpips_loss 0.1751, g_loss 0.0265, disc_weight 0.4000, disc_adaptive_weight 3.2036, d_loss 0.4731, logits_real -0.0276, logits_fake -0.0267,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.2896, rec_loss 0.0232, lpips_loss 0.1752, g_loss 0.0271, disc_weight 0.4000, disc_adaptive_weight 3.3601, d_loss 0.4711, logits_real -0.0283, logits_fake -0.0273,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.2846, rec_loss 0.0230, lpips_loss 0.1751, g_loss 0.0279, disc_weight 0.4000, disc_adaptive_weight 3.0861, d_loss 0.4692, logits_real -0.0290, logits_fake -0.0279,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.2920, rec_loss 0.0229, lpips_loss 0.1758, g_loss 0.0284, disc_weight 0.4000, disc_adaptive_weight 3.2569, d_loss 0.4684, logits_real -0.0296, logits_fake -0.0284,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.2989, rec_loss 0.0229, lpips_loss 0.1760, g_loss 0.0292, disc_weight 0.4000, disc_adaptive_weight 3.4128, d_loss 0.4661, logits_real -0.0302, logits_fake -0.0292,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.2968, rec_loss 0.0229, lpips_loss 0.1762, g_loss 0.0299, disc_weight 0.4000, disc_adaptive_weight 3.2601, d_loss 0.4646, logits_real -0.0309, logits_fake -0.0297,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.2967, rec_loss 0.0231, lpips_loss 0.1758, g_loss 0.0303, disc_weight 0.4000, disc_adaptive_weight 3.2319, d_loss 0.4631, logits_real -0.0312, logits_fake -0.0301,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.2999, rec_loss 0.0231, lpips_loss 0.1756, g_loss 0.0307, disc_weight 0.4000, disc_adaptive_weight 3.3100, d_loss 0.4613, logits_real -0.0318, logits_fake -0.0307,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.2953, rec_loss 0.0230, lpips_loss 0.1746, g_loss 0.0313, disc_weight 0.4000, disc_adaptive_weight 3.1259, d_loss 0.4587, logits_real -0.0324, logits_fake -0.0313,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.3025, rec_loss 0.0233, lpips_loss 0.1759, g_loss 0.0317, disc_weight 0.4000, disc_adaptive_weight 3.2575, d_loss 0.4577, logits_real -0.0329, logits_fake -0.0317,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.3106, rec_loss 0.0237, lpips_loss 0.1764, g_loss 0.0322, disc_weight 0.4000, disc_adaptive_weight 3.4275, d_loss 0.4558, logits_real -0.0334, logits_fake -0.0323,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.3064, rec_loss 0.0234, lpips_loss 0.1758, g_loss 0.0328, disc_weight 0.4000, disc_adaptive_weight 3.2685, d_loss 0.4546, logits_real -0.0339, logits_fake -0.0329,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.3080, rec_loss 0.0233, lpips_loss 0.1765, g_loss 0.0332, disc_weight 0.4000, disc_adaptive_weight 3.2678, d_loss 0.4535, logits_real -0.0342, logits_fake -0.0331,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.3070, rec_loss 0.0233, lpips_loss 0.1764, g_loss 0.0334, disc_weight 0.4000, disc_adaptive_weight 3.2175, d_loss 0.4521, logits_real -0.0346, logits_fake -0.0334,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.3016, rec_loss 0.0231, lpips_loss 0.1757, g_loss 0.0338, disc_weight 0.4000, disc_adaptive_weight 3.0437, d_loss 0.4506, logits_real -0.0349, logits_fake -0.0337,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.3023, rec_loss 0.0229, lpips_loss 0.1755, g_loss 0.0340, disc_weight 0.4000, disc_adaptive_weight 3.0514, d_loss 0.4495, logits_real -0.0349, logits_fake -0.0338,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.3092, rec_loss 0.0231, lpips_loss 0.1765, g_loss 0.0342, disc_weight 0.4000, disc_adaptive_weight 3.2098, d_loss 0.4480, logits_real -0.0350, logits_fake -0.0340,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.3076, rec_loss 0.0234, lpips_loss 0.1765, g_loss 0.0346, disc_weight 0.4000, disc_adaptive_weight 3.1200, d_loss 0.4475, logits_real -0.0354, logits_fake -0.0345,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.3145, rec_loss 0.0235, lpips_loss 0.1765, g_loss 0.0353, disc_weight 0.4000, disc_adaptive_weight 3.2487, d_loss 0.4469, logits_real -0.0359, logits_fake -0.0350,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.3117, rec_loss 0.0234, lpips_loss 0.1760, g_loss 0.0357, disc_weight 0.4000, disc_adaptive_weight 3.1533, d_loss 0.4464, logits_real -0.0364, logits_fake -0.0355,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.3075, rec_loss 0.0232, lpips_loss 0.1758, g_loss 0.0362, disc_weight 0.4000, disc_adaptive_weight 3.0070, d_loss 0.4456, logits_real -0.0370, logits_fake -0.0362,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.3098, rec_loss 0.0230, lpips_loss 0.1749, g_loss 0.0366, disc_weight 0.4000, disc_adaptive_weight 3.0506, d_loss 0.4450, logits_real -0.0375, logits_fake -0.0368,
